gene,label
ADCY2,positive
APBB2,positive
ATP8A1,positive
CDH2,positive
CTNNA2,positive
EFNA5,positive
EPHA4,positive
EPHA6,positive
FKBP5,positive
HDAC9,positive
KLHL32,positive
LCORL,positive
LRRC8C,positive
MEF2C-AS1,positive
NCK2,positive
NFIB,positive
NFYC,positive
PELI2,positive
PHF21A,positive
PPM1L,positive
PTPRN2,positive
RFX2,positive
RPS6KA3,positive
SLC16A9,positive
SNAP91,positive
SSX2IP,positive
ST6GAL2,positive
SYT14,positive
ZNF462,positive
ZSWIM6,positive
A1BG,positive
ADCY7,positive
AKT1,positive
APOA4,positive
APOE,positive
AVP,positive
BDNF,positive
BTG1,positive
CAMK2B,positive
CASP4,positive
CHD4,positive
CHI3L1,positive
CNR1,positive
COL3A1,positive
COMT,positive
CP,positive
DAO,positive
DLG1,positive
DPYD,positive
DPYSL2,positive
DRD1,positive
DRD2,positive
DRD3,positive
DRD4,positive
EIF5,positive
EPHX2,positive
F2,positive
FGFR1,positive
MTOR,positive
GABRA6,positive
GABRB2,positive
GABRD,positive
GAD1,positive
GAD2,positive
GC,positive
CBLIF,positive
GRIK2,positive
GRIK5,positive
GRIN2B,positive
GRIN2D,positive
NR3C1,positive
GRM2,positive
GRM3,positive
GSK3A,positive
GSK3B,positive
NRG1,positive
HINT1,positive
HLA-DRB1,positive
HP,positive
HRH1,positive
HTR2A,positive
HTR6,positive
HTR7,positive
IL1B,positive
IL2RA,positive
IL6,positive
IL6R,positive
INPP5A,positive
KCNB1,positive
KDR,positive
KPNA1,positive
LAMA2,positive
LRP1,positive
MAOB,positive
MET,positive
MTHFR,positive
ND4,positive
NDUFV2,positive
NOS1,positive
NRGN,positive
NTF3,positive
NTRK1,positive
NTSR1,positive
OXTR,positive
PAK2,positive
PCM1,positive
PDE4B,positive
PHB,positive
PIK3CB,positive
PLXNA2,positive
PML,positive
PRODH,positive
RELN,positive
PVALB,positive
RGS12,positive
CCL2,positive
SRSF1,positive
SLC1A1,positive
SLC6A1,positive
SLC6A3,positive
SLC6A4,positive
SP4,positive
SYN2,positive
SYP,positive
TAC1,positive
THBS1,positive
TNF,positive
TP53,positive
TPH1,positive
VIPR2,positive
NRIP1,positive
TRRAP,positive
RGS9,positive
SELENBP1,positive
NRXN1,positive
ADAMTS3,positive
PITPNM1,positive
RB1CC1,positive
MAGI2,positive
MAGEC1,positive
DGCR2,positive
NPRL2,positive
CELF2,positive
NRG3,positive
CHL1,positive
CPLX2,positive
CPLX1,positive
KLF12,positive
NTNG1,positive
TRAK1,positive
PLCL2,positive
PLCB1,positive
VPS39,positive
APOL2,positive
CNTNAP2,positive
DISC2,positive
DISC1,positive
SAP30BP,positive
SDF4,positive
UGT1A3,positive
AHI1,positive
SBNO1,positive
WDR11,positive
VPS35,positive
EDEM2,positive
PAG1,positive
RTN4,positive
FASTKD5,positive
RTN4R,positive
APOL4,positive
DTNBP1,positive
PGBD1,positive
NTNG2,positive
KDM2B,positive
SHANK3,positive
DIXDC1,positive
TSPAN18,positive
ESAM,positive
ZNF804A,positive
SLC26A7,positive
SLC26A8,positive
OR4C46,positive
FAM3D,positive
TEKT5,positive
ZNF480,positive
ZNF565,positive
SPATA5,positive
HNRNPA3,positive
ADGRF4,positive
NKAPL,positive
CFAP65,positive
ALS2CL,positive
DAOA,positive
LAMA1,positive
HCAR2,positive
CCDC137,positive
ZNF530,positive
ZKSCAN4,positive
GPR153,positive
MIR137,positive
ACOT6,positive
ABCA4,negative
ABLIM3,negative
ADAM19,negative
ADAMTSL1,negative
ADCY3,negative
ADGRE5,negative
ADIRF,negative
AHRR,negative
AMD1,negative
AMIGO2,negative
AMOT,negative
ANGPT2,negative
ANOS1,negative
ANXA2,negative
ARFGAP1,negative
ARHGAP22,negative
ARL4D,negative
ARL6IP6,negative
ARNT,negative
ASH2L,negative
ATF3,negative
ATP6V0C,negative
ATR,negative
BAALC,negative
BACH2,negative
BAMBI,negative
BANK1,negative
BANP,negative
BARD1,negative
BCAS2,negative
BCOR,negative
BEND6,negative
BHLHE40,negative
BIRC7,negative
BNC1,negative
BNC2,negative
BTBD11,negative
BTG4,negative
C16orf87,negative
C4orf48,negative
CADPS2,negative
CAMK2D,negative
CAPS2,negative
CARD11,negative
CARD8-AS1,negative
CCDC181,negative
CCK,negative
CCND2,negative
CD200,negative
CD72,negative
CDON,negative
CEACAM1,negative
CEBPB,negative
CEBPD,negative
CEBPG,negative
CENPP,negative
CFAP69,negative
CFH,negative
CHMP1B,negative
CLRN1,negative
CLSTN2,negative
CLUL1,negative
CMSS1,negative
CNTLN,negative
COL11A1,negative
CRIM1,negative
CRX,negative
CSMD2,negative
CSRNP1,negative
CTCF,negative
CTH,negative
CTNNB1,negative
CTPS2,negative
CXCL2,negative
CXCL5,negative
CXXC5,negative
CYB5A,negative
CYP3A7,negative
DAAM2,negative
DAB2,negative
DAB2IP,negative
DACH1,negative
DBF4,negative
DDIT3,negative
DDIT4,negative
DDR2,negative
DDX20,negative
DEC1,negative
DIO2-AS1,negative
DIO3,negative
DISC1FP1,negative
DNASE1L3,negative
DPH6,negative
DPYSL3,negative
DST,negative
DSTN,negative
DUSP1,negative
EDN1,negative
EEF1A1,negative
EGR1,negative
EGR2,negative
EIF1,negative
ELL2,negative
ELOVL7,negative
EMP1,negative
EMX2,negative
ESYT2,negative
ETV4,negative
EXPH5,negative
EZR,negative
F3,negative
FAAH2,negative
FABP7,negative
FAM107B,negative
FAM189A2,negative
FAM221B,negative
FAM81A,negative
FAM98A,negative
FAT4,negative
FBLN5,negative
FCGR2A,negative
FGF13,negative
FGF14,negative
FGF2,negative
FGF9,negative
FLVCR2,negative
FOS,negative
FOSB,negative
FOXD4,negative
FOXK1,negative
FRMD6-AS2,negative
FSD1L,negative
FSIP2,negative
GAB2,negative
GABARAPL1,negative
GABPB1,negative
GADD45A,negative
GADD45B,negative
GAP43,negative
GBE1,negative
GCC2-AS1,negative
GEM,negative
GFRA1,negative
GJB6,negative
GMFG,negative
GMNN,negative
GPR146,negative
GRM8,negative
GUCY1A2,negative
GYG2,negative
H3F3B,negative
HDAC2,negative
HES4,negative
HEY2,negative
HGF,negative
HIC2,negative
HIST1H2BD,negative
HIST1H2BN,negative
HIST2H2BE,negative
HLF,negative
HLX-AS1,negative
HMGB1,negative
HMGCS1,negative
HS3ST3A1,negative
HSF2,negative
ICAM1,negative
ID3,negative
IER2,negative
IFITM3,negative
IFNLR1,negative
IFRD1,negative
IGFBP5,negative
IGFBP6,negative
IL12A-AS1,negative
IL15RA,negative
IL1R1,negative
IL33,negative
ING3,negative
INSIG1,negative
IRF2BP1,negative
ISLR,negative
JUNB,negative
KCND3,negative
KCNE3,negative
KDM6B,negative
KIF20B,negative
KLF4,negative
KLF6,negative
KLHL15,negative
KTN1-AS1,negative
L3MBTL4,negative
LAIR1,negative
LAMC1,negative
LANCL2,negative
LAS1L,negative
LDLR,negative
LEPR,negative
LGMN,negative
LHX2,negative
LHX5,negative
LIN54,negative
LINC00051,negative
LINC00222,negative
LINC00871,negative
LINC00945,negative
LINC01214,negative
LINC01237,negative
LINC01411,negative
LINC01497,negative
LINC01503,negative
LINC01588,negative
LMNB1,negative
LMNB2,negative
LPAR1,negative
LRFN5,negative
LRIF1,negative
LRP2,negative
LSM6,negative
LTBP4,negative
LY86,negative
MAFF,negative
MAN1A1,negative
MAP1B,negative
MAP3K9,negative
MATN1,negative
MBNL3,negative
MCF2L2,negative
MCTP2,negative
MEIS2,negative
MEOX2,negative
MIOS,negative
MIPOL1,negative
MIR181A1HG,negative
MNT,negative
MPO,negative
MPP5,negative
MSI1,negative
MT1F,negative
MT3,negative
MTF2,negative
MTMR2,negative
MTTP,negative
MXI1,negative
MYNN,negative
MYO3A,negative
NAP1L1,negative
NCEH1,negative
NCOA3,negative
NCR3LG1,negative
NDNF,negative
NEK5,negative
NEUROD1,negative
NKRF,negative
NLRP1,negative
NNMT,negative
NOC2L,negative
NOD1,negative
NR1H3,negative
NR2E1,negative
NR4A1,negative
NR4A3,negative
NR5A2,negative
NRARP,negative
NREP,negative
NTN4,negative
NUP62CL,negative
NWD2,negative
ONECUT1,negative
OSBP2,negative
P2RX7,negative
P2RY14,negative
PA2G4,negative
PACRG,negative
PAUPAR,negative
PBX1,negative
PCBP3,negative
PCDH11Y,negative
PCTP,negative
PDE10A,negative
PDE7A,negative
PDS5A,negative
PGM2L1,negative
PIEZO2,negative
PIK3R3,negative
PIM1,negative
PINX1,negative
PKP4,negative
PLCE1,negative
PLD5,negative
PLEKHH2,negative
PLOD2,negative
PLPP2,negative
PLPP3,negative
