gene,label
ABCA5,positive
ACTR3C,positive
ADD2,positive
ADGRB3,positive
ADGRL3,positive
ADNP,positive
AFF4,positive
AMPH,positive
ANK2,positive
APBB2,positive
AQP4-AS1,positive
ARPP21,positive
ARX,positive
ATF2,positive
ATF7,positive
ATRNL1,positive
AUTS2,positive
B4GALNT3,positive
BBX,positive
BCL11B,positive
BRINP2,positive
BRINP3,positive
CACNG8,positive
CALM3,positive
CAMK2D,positive
CDH10,positive
CDH2,positive
CDH20,positive
CDH6,positive
CDK19,positive
CELF2,positive
CELF3,positive
CHD2,positive
CNTNAP2,positive
CPNE7,positive
CREB1,positive
CSMD1,positive
CSRP2,positive
CTNNB1,positive
CUEDC1,positive
CUX2,positive
DCDC2C,positive
DCHS2,positive
DNM3,positive
DPP6,positive
EFCAB2,positive
EFNA5,positive
ELAVL2,positive
ELF2,positive
EPN2,positive
EPS8,positive
ESRRG,positive
ETV1,positive
EYA2,positive
EZR,positive
FANCC,positive
FANK1,positive
FGF5,positive
FOXD1,positive
FOXN4,positive
FOXP1,positive
FOXP4,positive
FOXQ1,positive
FXYD6,positive
FYN,positive
GAS2,positive
GLI3,positive
GRIN2B,positive
GRM8,positive
GTF2I,positive
HIF3A,positive
HIVEP1,positive
HIVEP2,positive
HMCN1,positive
HMGB2,positive
HPSE2,positive
IL1RAPL2,positive
INPP4B,positive
ITGA11,positive
ITGB3BP,positive
KCNB2,positive
KCNK9,positive
KCNQ5,positive
KDM4C,positive
KIRREL3,positive
KLF12,positive
KLF7,positive
KMT2A,positive
LEPR,positive
LIN28B,positive
LINC01331,positive
LMO4,positive
LNX1,positive
LPAR1,positive
LY6H,positive
MAML3,positive
MEG3,positive
MEIS2,positive
MID1,positive
MIR4500HG,positive
MLLT10,positive
MPPED1,positive
MXI1,positive
NCK2,positive
NCOA2,positive
NCOR1,positive
NFE2L2,positive
NFIA,positive
NFIB,positive
NFYB,positive
NFYC,positive
NGEF,positive
NHLH1,positive
NLGN4X,positive
NPY1R,positive
NR1D1,positive
NR1D2,positive
NR2C2,positive
NR2F1,positive
NRG1,positive
NRGN,positive
NRXN2,positive
NYAP2,positive
OSBPL3,positive
PALLD,positive
PAPPA2,positive
PARD3,positive
PAX6,positive
PCDH11Y,positive
PCDH9,positive
PDE4B,positive
PDLIM5,positive
PDZRN3,positive
PHF21A,positive
PKN2-AS1,positive
PLD1,positive
