gene,label
AFF3,positive
C1GALT1,positive
CACHD1,positive
CACNA1D,positive
CADM2,positive
CCDC92,positive
CDH2,positive
CHD6,positive
DLGAP2,positive
FAM153B,positive
FOXP1,positive
GLIS3,positive
GNAO1,positive
HBP1,positive
HOMER1,positive
IL6ST,positive
JAZF1,positive
KANK1,positive
KIF1B,positive
KLF12,positive
LCOR,positive
LPAR1,positive
LRRC4B,positive
MAML3,positive
MMP17,positive
NETO1,positive
NFIB,positive
OSBPL6,positive
PDE4B,positive
PDE4D,positive
PELI2,positive
PLCB4,positive
PRKACB,positive
PRKD1,positive
PRR16,positive
PTPRF,positive
RAB40B,positive
RBPJ,positive
SERTAD2,positive
SOX5,positive
SPRED1,positive
STXBP5L,positive
SYP,positive
TCF7L2,positive
TRPS1,positive
UGP2,positive
ZNF517,positive
A1BG,positive
ADCY7,positive
AKT1,positive
APOA4,positive
APOE,positive
AVP,positive
BDNF,positive
BTG1,positive
CAMK2B,positive
CASP4,positive
CHD4,positive
CHI3L1,positive
CNR1,positive
COL3A1,positive
COMT,positive
CP,positive
DAO,positive
DLG1,positive
DPYD,positive
DPYSL2,positive
DRD1,positive
DRD2,positive
DRD3,positive
DRD4,positive
EIF5,positive
EPHX2,positive
F2,positive
FGFR1,positive
MTOR,positive
GABRA6,positive
GABRB2,positive
GABRD,positive
GAD1,positive
GAD2,positive
GC,positive
CBLIF,positive
GRIK2,positive
GRIK5,positive
GRIN2B,positive
GRIN2D,positive
NR3C1,positive
GRM2,positive
GRM3,positive
GSK3A,positive
GSK3B,positive
NRG1,positive
HINT1,positive
HLA-DRB1,positive
HP,positive
HRH1,positive
HTR2A,positive
HTR6,positive
HTR7,positive
IL1B,positive
IL2RA,positive
IL6,positive
IL6R,positive
INPP5A,positive
KCNB1,positive
KDR,positive
KPNA1,positive
LAMA2,positive
LRP1,positive
MAOB,positive
MET,positive
MTHFR,positive
ND4,positive
NDUFV2,positive
NOS1,positive
NRGN,positive
NTF3,positive
NTRK1,positive
NTSR1,positive
OXTR,positive
PAK2,positive
PCM1,positive
PHB,positive
PIK3CB,positive
PLXNA2,positive
PML,positive
PRODH,positive
RELN,positive
PVALB,positive
RGS12,positive
CCL2,positive
SRSF1,positive
SLC1A1,positive
SLC6A1,positive
SLC6A3,positive
SLC6A4,positive
SP4,positive
SYN2,positive
TAC1,positive
THBS1,positive
TNF,positive
TP53,positive
TPH1,positive
VIPR2,positive
NRIP1,positive
TRRAP,positive
RGS9,positive
SELENBP1,positive
NRXN1,positive
ADAMTS3,positive
PITPNM1,positive
RB1CC1,positive
MAGI2,positive
MAGEC1,positive
DGCR2,positive
NPRL2,positive
CELF2,positive
NRG3,positive
CHL1,positive
CPLX2,positive
CPLX1,positive
NTNG1,positive
TRAK1,positive
PLCL2,positive
PLCB1,positive
VPS39,positive
APOL2,positive
CNTNAP2,positive
DISC2,positive
DISC1,positive
SAP30BP,positive
SDF4,positive
UGT1A3,positive
AHI1,positive
SBNO1,positive
WDR11,positive
VPS35,positive
EDEM2,positive
PAG1,positive
RTN4,positive
FASTKD5,positive
RTN4R,positive
APOL4,positive
DTNBP1,positive
PGBD1,positive
NTNG2,positive
KDM2B,positive
SHANK3,positive
DIXDC1,positive
TSPAN18,positive
ESAM,positive
ZNF804A,positive
SLC26A7,positive
SLC26A8,positive
OR4C46,positive
FAM3D,positive
TEKT5,positive
ZNF480,positive
ZNF565,positive
SPATA5,positive
HNRNPA3,positive
ADGRF4,positive
NKAPL,positive
CFAP65,positive
ALS2CL,positive
DAOA,positive
LAMA1,positive
HCAR2,positive
CCDC137,positive
ZNF530,positive
ZKSCAN4,positive
GPR153,positive
MIR137,positive
ACOT6,positive
ABCC3,negative
ABCC9,negative
ABHD3,negative
ABHD8,negative
ADAMTS1,negative
ADGRL2,negative
ADM,negative
ADNP,negative
AGAP2,negative
AHDC1,negative
ALG5,negative
AMDHD1,negative
ANKRD13D,negative
ANXA11,negative
APBB1,negative
AREG,negative
ARHGAP20,negative
ARHGAP25,negative
ARHGAP44,negative
ARHGEF3,negative
ARIH2OS,negative
ASH2L,negative
ASPSCR1,negative
ASXL3,negative
ATF7,negative
ATG10,negative
ATP1A1,negative
ATP1A2,negative
ATP1B3,negative
AUTS2,negative
B4GALNT1,negative
BACH1,negative
BAMBI,negative
BCAS2,negative
BCL6,negative
BIN1,negative
BRCA1,negative
BRCA2,negative
C10orf67,negative
C21orf91,negative
C4orf47,negative
C5orf66,negative
CACNA1E,negative
CACNA1F,negative
CACNA1S,negative
CACNA2D2,negative
CADPS,negative
CALCRL,negative
CALD1,negative
CAND2,negative
CAPN11,negative
CATSPERG,negative
CC2D2B,negative
CD74,negative
CD83,negative
CDH22,negative
CDHR2,negative
CDK2AP1,negative
CDK8,negative
CDKL2,negative
CEBPG,negative
CELF5,negative
CENPH,negative
CFAP70,negative
CGNL1,negative
CHD2,negative
CHRNA7,negative
CKAP2,negative
CLEC2B,negative
CLIC4,negative
CLIP4,negative
CNOT4,negative
COL19A1,negative
COL24A1,negative
CPD,negative
CPEB2,negative
CPSF1,negative
CRHBP,negative
CRIM1,negative
CSGALNACT1,negative
CST3,negative
CTHRC1,negative
CTNNB1,negative
CUX1,negative
CUX2,negative
CXCL11,negative
CXCL8,negative
CYBA,negative
CYLD,negative
DACH1,negative
DAPK2,negative
DCN,negative
DDA1,negative
DGCR8,negative
DHX36,negative
DIDO1,negative
DISP3,negative
DNAH14,negative
DNAH6,negative
DNAJB1,negative
DNM3,negative
DOCK8,negative
DOK6,negative
DPM1,negative
DSC2,negative
DST,negative
DUSP23,negative
DUSP4,negative
E2F6,negative
EFCAB2,negative
EFCAB6,negative
EGLN1,negative
EGR3,negative
ELF3,negative
ELF4,negative
EPHA7,negative
EPHX1,negative
ETS1,negative
ETV1,negative
ETV6,negative
EZH2,negative
EZR,negative
FABP5,negative
FAM104B,negative
FAM20C,negative
FBN1,negative
FGF10,negative
FIGN,negative
FIP1L1,negative
FNDC3B,negative
FOXF2,negative
FOXN2,negative
FOXO1,negative
FRMD6,negative
FRMPD1,negative
FTL,negative
FUT9,negative
GABARAPL1,negative
GABPA,negative
GABPB1,negative
GALNT14,negative
GALNT4,negative
GALNT7,negative
GAR1,negative
GATA6,negative
GFRA1,negative
GFRA2,negative
GLIS2,negative
GNA14,negative
GNG12-AS1,negative
GPANK1,negative
GRAMD4,negative
GRID1,negative
GRIN2A,negative
GRIN3A,negative
GRIP2,negative
GSKIP,negative
GTF2A1,negative
HAPLN4,negative
HCFC2,negative
HDAC2,negative
HECW1,negative
HERC1,negative
HIF3A,negative
HMCN1,negative
HMGXB4,negative
HNF4A-AS1,negative
HNRNPH3,negative
HNRNPLL,negative
HP1BP3,negative
HPCAL1,negative
HRC,negative
HSF1,negative
HSF2,negative
HSP90AA1,negative
HSPA14,negative
HTR1E,negative
HTR2B,negative
IER2,negative
IGF2BP2,negative
IL15,negative
IL18R1,negative
IL1R1,negative
IL1RL1,negative
IL4R,negative
IL7R,negative
IMPG2,negative
IQCK,negative
IRAK2,negative
ISG15,negative
ITGB8,negative
ITPR2,negative
JAKMIP1,negative
KCNAB2,negative
KIAA1549L,negative
KIF1A,negative
KIF20B,negative
KLF10,negative
KLF11,negative
KLF5,negative
LHCGR,negative
LHX2,negative
LINC00471,negative
LINC00578,negative
LINC00863,negative
LINC00886,negative
LINC00907,negative
LINC01206,negative
LINC01255,negative
LINC01515,negative
LINC01588,negative
LRFN4,negative
LRIG1,negative
LRRC28,negative
LRRFIP1,negative
LURAP1L,negative
LYL1,negative
LYST,negative
MAFF,negative
MAFK,negative
MAN1A1,negative
MAP3K14-AS1,negative
MAP3K8,negative
MAPRE2,negative
MATK,negative
MBNL1-AS1,negative
MECP2,negative
MEIS2,negative
MIOS,negative
MIS18A,negative
MITF,negative
MLF1,negative
MLLT10,negative
MMP2,negative
MN1,negative
MNT,negative
MSANTD3,negative
MTM1,negative
MTRNR2L8,negative
MXD3,negative
MYO10,negative
MYO1B,negative
MYO1E,negative
MYRF,negative
NANOG,negative
NAP1L5,negative
NAPA,negative
NCAPH,negative
NEDD4L,negative
NEDD9,negative
NEK10,negative
NF1,negative
NFE2L2,negative
NFIA,negative
NFIX,negative
NFXL1,negative
NFYC,negative
NOL4L,negative
NOP9,negative
NR5A2,negative
NUAK1,negative
NUCB2,negative
NUP107,negative
NUPR1,negative
NXPH2,negative
OBSCN,negative
OPRM1,negative
OSBP2,negative
OSBPL3,negative
PALLD,negative
PARP1,negative
PARP8,negative
PAUPAR,negative
PCBP2-OT1,negative
PCDHB10,negative
PCYT1A,negative
PDCD4,negative
PDLIM5,negative
PDS5A,negative
PEBP4,negative
PIGN,negative
PIGZ,negative
PKD1L1,negative
PLA1A,negative
PLP2,negative
PLPP3,negative
PLPP7,negative
PLS3,negative
POU6F1,negative
PPARA,negative
PPARD,negative
PPARG,negative
PPP1CB,negative
PPP1R3C,negative
PRDM10,negative
PRDM16,negative
PRDM4,negative
PRIM1,negative
PRLR,negative
PROS1,negative
PROX1,negative
PRR26,negative
PRRT1,negative
PSMC2,negative
PTH1R,negative
PTPRE,negative
PTPRJ,negative
PUDP,negative
PUS10,negative
RAB15,negative
RAB6B,negative
RABGAP1L,negative
RABL2A,negative
RACK1,negative
RAI2,negative
RAMP3,negative
RARB,negative
RASA3,negative
RASAL1,negative
RASSF9,negative
RBMS1,negative
REST,negative
RFX3,negative
RGS2,negative
RHBDD1,negative
RIMKLB,negative
RIMS1,negative
RIPK2,negative
RNASE1,negative
RNF114,negative
RNF138,negative
RNF144A-AS1,negative
ROBO1,negative
RPL15,negative
RPL41,negative
RPL6,negative
RPL8,negative
RPS4X,negative
RPS5,negative
RUNX1,negative
SAMD3,negative
SAMSN1,negative
SCOC-AS1,negative
SEC16B,negative
SERF2,negative
SERPINB9P1,negative
SERPING1,negative
SESN1,negative
SFT2D1,negative
SGCZ,negative
SGMS1-AS1,negative
SHANK1,negative
SIX5,negative
SKAP2,negative
SKP1,negative
SLAIN1,negative
SLC11A1,negative
SLC22A4,negative
SLC2A3,negative
SLC30A10,negative
SLC35F3,negative
SLC4A4,negative
SLC6A12,negative
SLC6A17,negative
SLIT1,negative
SLITRK3,negative
SLITRK4,negative
SMAD1,negative
SMAD2,negative
SMAD5,negative
SOX13,negative
SPATC1,negative
SPATS2,negative
SPTSSA,negative
SSBP2,negative
SSH2,negative
ST6GALNAC2,negative
STAT5A,negative
STAU2,negative
STK33,negative
STK40,negative
STXBP5,negative
STXBP5-AS1,negative
SYNDIG1,negative
SYNPR,negative
TAF7,negative
TAF9,negative
TAGLN2,negative
TBC1D25,negative
TBC1D4,negative
TBL1X,negative
TCF12,negative
TCF3,negative
TEAD4,negative
TEX14,negative
TEX29,negative
TEX35,negative
TFDP1,negative
THAP1,negative
THOC5,negative
THRA,negative
TIGD7,negative
TIMP1,negative
TIRAP,negative
TLR2,negative
TMCC2,negative
TMEM117,negative
TMEM132C,negative
TMEM240,negative
TMEM63B,negative
TMEM68,negative
TMEM71,negative
TNFAIP3,negative
TNFSF4,negative
TOLLIP,negative
TPD52,negative
TPI1,negative
TPK1,negative
TPM4,negative
TRHDE,negative
TRIM21,negative
TRIM62,negative
TRPV1,negative
TSN,negative
TSPAN6,negative
TSPAN7,negative
TUBGCP4,negative
TVP23B,negative
TWIST1,negative
U2AF1,negative
UBA52,negative
UBC,negative
VRK3,negative
WDR17,negative
WDR48,negative
WDR81,negative
WDYHV1,negative
WRNIP1,negative
WTAP,negative
XBP1,negative
XYLT1,negative
ZBP1,negative
ZBTB10,negative
ZBTB16,negative
ZBTB40,negative
ZBTB45,negative
ZC3H12B,negative
ZC3H15,negative
ZC3HAV1,negative
ZCCHC2,negative
ZDHHC5,negative
ZEB1,negative
ZFP30,negative
ZFP62,negative
ZFP69,negative
ZHX1,negative
ZIM2,negative
ZKSCAN7,negative
ZNF136,negative
ZNF14,negative
ZNF160,negative
ZNF195,negative
ZNF197,negative
ZNF200,negative
ZNF219,negative
ZNF232,negative
ZNF234,negative
ZNF235,negative
ZNF267,negative
ZNF276,negative
ZNF281,negative
ZNF284,negative
ZNF287,negative
ZNF3,negative
ZNF320,negative
ZNF33A,negative
ZNF33B,negative
ZNF354C,negative
ZNF366,negative
ZNF367,negative
ZNF398,negative
ZNF417,negative
ZNF418,negative
ZNF420,negative
ZNF454,negative
ZNF467,negative
ZNF468,negative
ZNF471,negative
ZNF484,negative
ZNF511,negative
ZNF513,negative
ZNF516,negative
ZNF528,negative
ZNF532,negative
ZNF554,negative
ZNF569,negative
ZNF580,negative
ZNF582,negative
ZNF600,negative
ZNF608,negative
ZNF619,negative
ZNF624,negative
ZNF646,negative
ZNF649,negative
ZNF665,negative
ZNF699,negative
ZNF701,negative
ZNF736,negative
ZNF765,negative
ZNF766,negative
ZNF77,negative
ZNF773,negative
ZNF775,negative
ZNF778,negative
ZNF780A,negative
ZNF781,negative
ZNF79,negative
ZNF790,negative
ZNF8,negative
ZNF804B,negative
ZNF816,negative
ZNF821,negative
ZNF92,negative
ZRANB2-AS2,negative
ZSCAN18,negative
ZSCAN29,negative
