gene,label
ADCY1,positive
ADGRL3,positive
ADNP,positive
AFF4,positive
ARHGEF9,positive
ARL6,positive
ASPHD1,positive
ATF2,positive
ATXN7L3,positive
AUTS2,positive
BACH1,positive
BBX,positive
BCL11B,positive
BMPR1A,positive
CAMK2A,positive
CCNI,positive
CDH2,positive
CDK19,positive
CECR2,positive
CIC,positive
CTNNB1,positive
CUX1,positive
CXXC5,positive
DACH1,positive
DCLK2,positive
DDN,positive
EGR3,positive
ELF2,positive
ELK3,positive
ERG,positive
FOXN3,positive
FOXO1,positive
FOXP1,positive
GABPB1,positive
GABRB2,positive
GATAD2A,positive
GLCE,positive
GLIS3,positive
GPRIN3,positive
GPSM2,positive
HBP1,positive
HMBOX1,positive
HNRNPH3,positive
ITPK1,positive
KAT6B,positive
KCNJ9,positive
KDM4C,positive
KIAA1958,positive
KIT,positive
KMT2A,positive
LINGO1,positive
MAP3K9,positive
MAP7,positive
MEF2A,positive
MLLT10,positive
MPPED2,positive
NCAM1,positive
NCOA2,positive
NFIA,positive
NFIX,positive
NFYB,positive
NPAS2,positive
NR2C2,positive
NR3C1,positive
NR3C2,positive
NRXN2,positive
NTN4,positive
NUDT4,positive
PACSIN1,positive
PBXIP1,positive
PDGFC,positive
PGRMC1,positive
PHF21A,positive
PIP5K1B,positive
PJA1,positive
PNMA6A,positive
PPP1R9B,positive
PRKD1,positive
PSD,positive
PTCHD1,positive
RFX3,positive
RORA,positive
RREB1,positive
S100A6,positive
SCN11A,positive
SGK3,positive
SLC12A5,positive
SMAD1,positive
SMAD2,positive
SMAD5,positive
SOX5,positive
STAT5B,positive
STAU2,positive
SYNPO,positive
TBL1XR1,positive
TET1,positive
THOC2,positive
TMEM150C,positive
VEZF1,positive
ZBTB20,positive
ZHX1,positive
ZNF205,positive
ZNF415,positive
ZNF521,positive
ZNF557,positive
ZNF607,positive
ZNF644,positive
ZNF652,positive
ZNF704,positive
ACTB,positive
ACTL6B,positive
ACY1,positive
ADGRL1,positive
ADSL,positive
AFF2,positive
AGO2,positive
AHDC1,positive
AHI1,positive
ALDH1A3,positive
ALDH5A1,positive
ALG6,positive
ANK2,positive
ABCE1,positive
ANK3,positive
ANKRD11,positive
ANKRD17,positive
ANKS1B,positive
AP1S2,positive
AP2S1,positive
ARID1B,positive
ARID2,positive
ARX,positive
ANP32A,positive
ARF3,positive
ASH1L,positive
ASXL3,positive
ATP1A1,positive
ATP1A3,positive
ATP2B1,positive
ATRX,positive
BAZ2B,positive
BCKDK,positive
BCL11A,positive
BCORL1,positive
BICRA,positive
BRAF,positive
BRSK2,positive
BRWD3,positive
C12orf57,positive
CACNA1A,positive
CACNA1C,positive
CACNA1E,positive
CACNA2D3,positive
CAMK2B,positive
CAPRIN1,positive
CASK,positive
CASZ1,positive
CCNK,positive
CAMTA2,positive
CDK13,positive
CDK8,positive
CDKL5,positive
CELF2,positive
CELF4,positive
CEP290,positive
CHAMP1,positive
CHD1,positive
CHD2,positive
CHD3,positive
CHD7,positive
CHD8,positive
CHKB,positive
CLCN4,positive
CNKSR2,positive
CNOT1,positive
CNOT3,positive
CNTNAP2,positive
CORO1A,positive
CREBBP,positive
CPSF7,positive
CSDE1,positive
CSNK1G1,positive
CSNK2A1,positive
CSNK2B,positive
CTCF,positive
CTNNA2,positive
CTR9,positive
CUL3,positive
CUX2,positive
CYP27A1,positive
DDX23,positive
DDX3X,positive
DEAF1,positive
DEPDC5,positive
DHCR7,positive
DHX30,positive
DIP2A,positive
DLG4,positive
DLL1,positive
DMD,positive
DMPK,positive
DNMT3A,positive
DOLK,positive
DPYSL2,positive
DSCAM,positive
DYNC1H1,positive
DYRK1A,positive
EBF3,positive
EEF1A2,positive
EHMT1,positive
EIF3G,positive
ELAVL3,positive
ELP2,positive
EP300,positive
FBRSL1,positive
FBXO11,positive
FGF13,positive
FMR1,positive
FOXG1,positive
FOXP2,positive
FRMPD4,positive
GABBR2,positive
GABRA3,positive
GABRB3,positive
GALNT2,positive
GATM,positive
GFAP,positive
GIGYF1,positive
GIGYF2,positive
GNAI1,positive
GNB2,positive
GRIA2,positive
GRIA3,positive
GRIN1,positive
GRIN2A,positive
GRIN2B,positive
H1-4,positive
H4C11,positive
H4C3,positive
H4C5,positive
HCFC1,positive
HDAC4,positive
HDAC8,positive
HDLBP,positive
HECTD4,positive
HEPACAM,positive
HERC1,positive
HERC2,positive
HIVEP2,positive
HNRNPD,positive
HNRNPH2,positive
HNRNPK,positive
HNRNPR,positive
HNRNPU,positive
HNRNPUL2,positive
HOXA1,positive
HRAS,positive
HUWE1,positive
INTS1,positive
IQSEC2,positive
IRF2BPL,positive
KANSL1,positive
KAT6A,positive
KATNAL2,positive
KCNB1,positive
KCNQ3,positive
KDM3B,positive
KDM5B,positive
KDM5C,positive
KDM6B,positive
KIAA0232,positive
KIF1A,positive
KIF5C,positive
KDM2B,positive
KLHL20,positive
KMT2C,positive
KMT2E,positive
KMT5B,positive
KPTN,positive
LDB1,positive
LNPK,positive
LRRC4C,positive
LZTR1,positive
MAGEL2,positive
MAP1A,positive
MBD5,positive
MBOAT7,positive
MECP2,positive
MED12L,positive
MED13,positive
MED13L,positive
MEF2C,positive
MEIS2,positive
MKX,positive
MSL3,positive
MSX2,positive
MTOR,positive
MYT1L,positive
NAA15,positive
NACC1,positive
NBEA,positive
NCKAP1,positive
MYCBP2,positive
NCOA1,positive
NEXMIF,positive
NF1,positive
NFIB,positive
NIPBL,positive
NLGN2,positive
NLGN3,positive
NLGN4X,positive
NOVA2,positive
NR2F1,positive
NR4A2,positive
NRXN1,positive
NRXN3,positive
NSD1,positive
NSD2,positive
NTNG1,positive
NTNG2,positive
NTRK2,positive
NUP155,positive
OCRL,positive
PABPC1,positive
PACS1,positive
PACS2,positive
PAH,positive
PAK1,positive
PAX5,positive
PAX6,positive
PCCA,positive
PCCB,positive
PCDH19,positive
PDZD8,positive
PHF12,positive
PHF2,positive
PHF3,positive
PHF8,positive
PHIP,positive
PIK3R2,positive
POGZ,positive
POLR2A,positive
POLR3A,positive
POMGNT1,positive
POU3F3,positive
PPM1D,positive
PPP2CA,positive
PPP2R5D,positive
PPP3CA,positive
PPP5C,positive
PRODH,positive
PRPF8,positive
PRR12,positive
PSMD12,positive
PTEN,positive
PRR14L,positive
PSMD11,positive
PSMD6,positive
PTK7,positive
PTPN11,positive
PTPN4,positive
RAC1,positive
RAI1,positive
RALA,positive
RALGAPB,positive
RELN,positive
RERE,positive
RFX4,positive
RFX7,positive
RHEB,positive
RIMS1,positive
RIMS2,positive
RLIM,positive
RNF135,positive
RORB,positive
RPS6KA3,positive
RSRC1,positive
RUNX1T1,positive
SATB1,positive
SATB2,positive
SCAF4,positive
SCN1A,positive
SCN2A,positive
SCN8A,positive
RAD21,positive
SETBP1,positive
SETD1A,positive
SETD1B,positive
SETD2,positive
SETD5,positive
SGSH,positive
SHANK2,positive
SHANK3,positive
SIK1,positive
SIN3A,positive
SIN3B,positive
SKI,positive
SLC45A1,positive
SLC6A1,positive
SLC9A6,positive
SLITRK2,positive
SMARCA2,positive
SMARCA4,positive
SMARCC2,positive
SMC1A,positive
SMC3,positive
SNX14,positive
SON,positive
SOS2,positive
SOX6,positive
SPAST,positive
SPTBN1,positive
SRCAP,positive
SRPRA,positive
SRRM2,positive
STAG1,positive
STXBP1,positive
