gene,label
ADAMTS16,positive
ADGRB3,positive
AGMO,positive
AMPH,positive
ANTXR2,positive
AP1S2,positive
APBB2,positive
ARHGAP12,positive
ARPP21,positive
ATL1,positive
ATP1A2,positive
ATRNL1,positive
BCL6,positive
BHLHE40,positive
BRINP3,positive
BTBD3,positive
C12orf42,positive
C3orf67,positive
CACNA1A,positive
CCDC3,positive
CDH10,positive
CDH2,positive
CHL1,positive
CHST11,positive
CHSY3,positive
CLIP4,positive
CNTNAP5,positive
COL19A1,positive
CSMD1,positive
CSMD2,positive
CTNNB1,positive
DACH1,positive
DLG2,positive
DNAJC9,positive
DPP4,positive
DST,positive
EIF4E3,positive
ELAVL2,positive
ELF2,positive
ESRP1,positive
FAM102B,positive
FAM126A,positive
FAM135B,positive
FAM155A,positive
FBN1,positive
FGF1,positive
FLRT2,positive
FNDC5,positive
FOXJ3,positive
FOXO1,positive
FUT8,positive
FZD10-AS1,positive
GAB2,positive
GABRG2,positive
GK5,positive
GNAO1,positive
GNG7,positive
GPRIN3,positive
GRIA3,positive
GRM1,positive
GRM5,positive
GULP1,positive
HCN1,positive
HDAC9,positive
HECW1,positive
HIP1,positive
HNRNPH3,positive
HPSE2,positive
HRCT1,positive
HS3ST4,positive
IL18,positive
IL1RAPL1,positive
IL1RAPL2,positive
IQCH-AS1,positive
IRS1,positive
IRS2,positive
JAG1,positive
KCNQ3,positive
LAYN,positive
LCORL,positive
LGALS3,positive
LMO4,positive
LPIN1,positive
LRRK2,positive
LSAMP,positive
MAGI3,positive
MARCH4,positive
MCTP2,positive
MEIS3,positive
MKLN1,positive
MMP16,positive
MPP6,positive
MSL2,positive
MXD3,positive
MYL12A,positive
MYO6,positive
NAP1L1,positive
NEGR1,positive
NFIA,positive
NHS,positive
NLGN4Y,positive
NONO,positive
NR6A1,positive
NRG1,positive
NT5E,positive
NTRK2,positive
OLFM3,positive
PCDHGC5,positive
PCSK2,positive
PDE4B,positive
PDZRN4,positive
PHACTR3,positive
PHF20,positive
PIK3R6,positive
