gene,label
ABL1,positive
AK5,positive
ATF7,positive
BCL11A,positive
BRINP3,positive
CADPS,positive
CDH11,positive
EP300,positive
ESRRG,positive
FAR2,positive
FOXJ3,positive
FOXP1,positive
JAZF1,positive
KCNK1,positive
LCOR,positive
MLLT10,positive
MYEF2,positive
NF1,positive
NFE2L2,positive
NFYC,positive
NOS1AP,positive
NUTM2B-AS1,positive
PHF21A,positive
PLCL2,positive
POU2F1,positive
RBFOX2,positive
RFX7,positive
RIMS1,positive
SATB2,positive
SCMH1,positive
SETBP1,positive
SIN3A,positive
TNIK,positive
ZEB1,positive
ZFP2,positive
ACTB,positive
ACTL6B,positive
ACY1,positive
ADGRL1,positive
ADNP,positive
ADSL,positive
AFF2,positive
AGO2,positive
AHDC1,positive
AHI1,positive
ALDH1A3,positive
ALDH5A1,positive
ALG6,positive
ANK2,positive
ABCE1,positive
ANK3,positive
ANKRD11,positive
ANKRD17,positive
ANKS1B,positive
AP1S2,positive
AP2S1,positive
ARHGEF9,positive
ARID1B,positive
ARID2,positive
ARX,positive
ANP32A,positive
ARF3,positive
ASH1L,positive
ASXL3,positive
ATP1A1,positive
ATP1A3,positive
ATP2B1,positive
ATRX,positive
AUTS2,positive
BAZ2B,positive
BCKDK,positive
BCORL1,positive
BICRA,positive
BRAF,positive
BRSK2,positive
BRWD3,positive
C12orf57,positive
CACNA1A,positive
CACNA1C,positive
CACNA1E,positive
CACNA2D3,positive
CAMK2A,positive
CAMK2B,positive
CAPRIN1,positive
CASK,positive
CASZ1,positive
CCNK,positive
CAMTA2,positive
CDK13,positive
CDK19,positive
CDK8,positive
CDKL5,positive
CELF2,positive
CELF4,positive
CEP290,positive
CHAMP1,positive
CHD1,positive
CHD2,positive
CHD3,positive
CHD7,positive
CHD8,positive
CHKB,positive
CIC,positive
CLCN4,positive
CNKSR2,positive
CNOT1,positive
CNOT3,positive
CNTNAP2,positive
CORO1A,positive
CREBBP,positive
CPSF7,positive
CSDE1,positive
CSNK1G1,positive
CSNK2A1,positive
CSNK2B,positive
CTCF,positive
CTNNA2,positive
CTNNB1,positive
CTR9,positive
CUL3,positive
CUX2,positive
CYP27A1,positive
DDX23,positive
DDX3X,positive
DEAF1,positive
DEPDC5,positive
DHCR7,positive
DHX30,positive
DIP2A,positive
DLG4,positive
DLL1,positive
DMD,positive
DMPK,positive
DNMT3A,positive
DOLK,positive
DPYSL2,positive
DSCAM,positive
DYNC1H1,positive
DYRK1A,positive
EBF3,positive
EEF1A2,positive
EHMT1,positive
EIF3G,positive
ELAVL3,positive
ELP2,positive
FBRSL1,positive
FBXO11,positive
FGF13,positive
FMR1,positive
FOXG1,positive
FOXP2,positive
FRMPD4,positive
GABBR2,positive
GABRA3,positive
GABRB2,positive
GABRB3,positive
GALNT2,positive
GATM,positive
GFAP,positive
GIGYF1,positive
GIGYF2,positive
GNAI1,positive
GNB2,positive
GRIA2,positive
GRIA3,positive
GRIN1,positive
GRIN2A,positive
GRIN2B,positive
H1-4,positive
H4C11,positive
H4C3,positive
H4C5,positive
HCFC1,positive
HDAC4,positive
HDAC8,positive
HDLBP,positive
HECTD4,positive
HEPACAM,positive
HERC1,positive
HERC2,positive
HIVEP2,positive
HNRNPD,positive
HNRNPH2,positive
HNRNPK,positive
HNRNPR,positive
HNRNPU,positive
HNRNPUL2,positive
HOXA1,positive
HRAS,positive
HUWE1,positive
INTS1,positive
IQSEC2,positive
IRF2BPL,positive
KANSL1,positive
KAT6A,positive
KATNAL2,positive
KCNB1,positive
KCNQ3,positive
KDM3B,positive
KDM5B,positive
KDM5C,positive
KDM6B,positive
KIAA0232,positive
KIF1A,positive
KIF5C,positive
KMT2A,positive
KDM2B,positive
KLHL20,positive
KMT2C,positive
KMT2E,positive
KMT5B,positive
KPTN,positive
LDB1,positive
LNPK,positive
LRRC4C,positive
LZTR1,positive
MAGEL2,positive
MAP1A,positive
MBD5,positive
MBOAT7,positive
MECP2,positive
MED12L,positive
MED13,positive
MED13L,positive
MEF2C,positive
MEIS2,positive
MKX,positive
MSL3,positive
MSX2,positive
MTOR,positive
MYT1L,positive
NAA15,positive
NACC1,positive
NBEA,positive
NCKAP1,positive
MYCBP2,positive
NCOA1,positive
NEXMIF,positive
NFIB,positive
NFIX,positive
NIPBL,positive
NLGN2,positive
NLGN3,positive
NLGN4X,positive
NOVA2,positive
NR2F1,positive
NR3C2,positive
NR4A2,positive
NRXN1,positive
NRXN2,positive
NRXN3,positive
NSD1,positive
NSD2,positive
NTNG1,positive
NTNG2,positive
NTRK2,positive
NUP155,positive
OCRL,positive
PABPC1,positive
PACS1,positive
PACS2,positive
PAH,positive
PAK1,positive
PAX5,positive
PAX6,positive
PCCA,positive
PCCB,positive
PCDH19,positive
PDZD8,positive
PHF12,positive
PHF2,positive
PHF3,positive
PHF8,positive
PHIP,positive
PIK3R2,positive
PJA1,positive
POGZ,positive
POLR2A,positive
POLR3A,positive
POMGNT1,positive
POU3F3,positive
PPM1D,positive
PPP1R9B,positive
PPP2CA,positive
PPP2R5D,positive
PPP3CA,positive
PPP5C,positive
PRKD1,positive
PRODH,positive
PRPF8,positive
PRR12,positive
PSMD12,positive
PTCHD1,positive
PTEN,positive
PRR14L,positive
PSMD11,positive
PSMD6,positive
PTK7,positive
PTPN11,positive
PTPN4,positive
RAC1,positive
RAI1,positive
RALA,positive
RALGAPB,positive
RELN,positive
RERE,positive
RFX3,positive
RFX4,positive
RHEB,positive
RIMS2,positive
RLIM,positive
RNF135,positive
RORA,positive
RORB,positive
RPS6KA3,positive
RSRC1,positive
RUNX1T1,positive
SATB1,positive
SCAF4,positive
SCN1A,positive
SCN2A,positive
SCN8A,positive
RAD21,positive
SETD1A,positive
SETD1B,positive
SETD2,positive
SETD5,positive
SGSH,positive
SHANK2,positive
SHANK3,positive
SIK1,positive
SIN3B,positive
SKI,positive
SLC45A1,positive
SLC6A1,positive
SLC9A6,positive
SLITRK2,positive
SMARCA2,positive
SMARCA4,positive
SMARCC2,positive
SMC1A,positive
SMC3,positive
SNX14,positive
SON,positive
SOS2,positive
SOX5,positive
SOX6,positive
SPAST,positive
SPTBN1,positive
SRCAP,positive
SRPRA,positive
SRRM2,positive
STAG1,positive
STXBP1,positive
SUPT16H,positive
SYN1,positive
SYNGAP1,positive
SYT1,positive
TAF1,positive
TAF4,positive
TANC2,positive
TAOK1,positive
TBC1D23,positive
TBCK,positive
TBL1XR1,positive
TBR1,positive
TBX1,positive
TCF20,positive
TBCEL,positive
TCEAL1,positive
TCF4,positive
TCF7L2,positive
TEK,positive
TET3,positive
TFE3,positive
TLK2,positive
TM4SF20,positive
TM9SF4,positive
TRAF7,positive
TRAPPC6B,positive
TLE3,positive
TRIM23,positive
TRIO,positive
TRIP12,positive
TRRAP,positive
TSC1,positive
TSC2,positive
TSHZ3,positive
TTI2,positive
TTN,positive
UBE3A,positive
TSHZ1,positive
UBAP2L,positive
UNC13A,positive
UPF3B,positive
USP7,positive
USP9X,positive
VAMP2,positive
VEZF1,positive
VPS13B,positive
WAC,positive
WASF1,positive
WDFY3,positive
WDR26,positive
XPC,positive
YWHAG,positive
YY1,positive
ZBTB20,positive
ZBTB7A,positive
UBR1,positive
WDR5,positive
ZBTB21,positive
ZMIZ1,positive
ZMYM2,positive
ZMYND8,positive
ZNF292,positive
ZNF462,positive
ZSWIM6,positive
A2M,negative
ABCA12,negative
ABCA8,negative
ACVR1,negative
ADAD2,negative
ADAM28,negative
ADAMTS1,negative
ADAMTS16,negative
ADAMTS4,negative
AGAP2,negative
AGMO,negative
ALX1,negative
ALX4,negative
ANGPT1,negative
ANK1,negative
ANKS1A,negative
ANLN,negative
APBB1IP,negative
APBB2,negative
ARC,negative
AREG,negative
ARHGAP15,negative
ARHGAP20,negative
ARHGAP24,negative
ARHGAP25,negative
ARHGAP6,negative
ARMC4,negative
ASAP1,negative
ASCC1,negative
ATF3,negative
ATF4,negative
ATP6V1A,negative
ATP6V1H,negative
ATP8B1,negative
AVEN,negative
B3GLCT,negative
BAG3,negative
BAIAP2,negative
BCAP31,negative
BCL6,negative
BDNF,negative
BEX1,negative
BHLHE22,negative
BICDL1,negative
BIRC3,negative
BLNK,negative
BNC2,negative
BRINP2,negative
C11orf96,negative
C1QTNF4,negative
C3,negative
CACNA1G,negative
CADM1,negative
CALB2,negative
CALCB,negative
CAMK1D,negative
CAMK2N1,negative
CAMK2N2,negative
CAP2,negative
CARNS1,negative
CASP7,negative
CBFA2T2,negative
CCL20,negative
CD59,negative
CD84,negative
CD86,negative
CDC14B,negative
CDH24,negative
CEBPA,negative
CEBPB,negative
CHGB,negative
CLEC7A,negative
CMKLR1,negative
COL1A1,negative
COL24A1,negative
CPED1,negative
CREM,negative
CRIM1,negative
CRISP2,negative
CSF1R,negative
CSF3R,negative
CUTA,negative
CX3CR1,negative
CXXC5,negative
CYP27C1,negative
CYTIP,negative
DBX2,negative
DGKD,negative
DGUOK-AS1,negative
DHRS9,negative
DISP3,negative
DKK1,negative
DLX1,negative
DLX2,negative
DLX5,negative
DLX6,negative
DMRT2,negative
DOCK2,negative
DOCK8,negative
DOK5,negative
DOK6,negative
DTNA,negative
DUSP1,negative
DUSP26,negative
DUSP3,negative
DUSP4,negative
DUSP5,negative
E2F4,negative
E2F8,negative
EGFR,negative
EGR4,negative
EIF1B,negative
EIF4A3,negative
ELF4,negative
ELF5,negative
ELFN1,negative
ELOVL5,negative
ENAH,negative
ENTPD1,negative
EOMES,negative
ERBB3,negative
ETV1,negative
EXO5,negative
EYA1,negative
EYA4,negative
FAM107A,negative
FAM189A1,negative
FAM217B,negative
FAM53B,negative
FBXL2,negative
FBXO43,negative
FENDRR,negative
FEZF1-AS1,negative
FGD2,negative
FGFR2,negative
FHL5,negative
FIGN,negative
FILIP1,negative
FLI1,negative
FNDC3B,negative
FNDC7,negative
FOS,negative
FOSB,negative
FOSL2,negative
FOXF2,negative
FOXL2,negative
FOXQ1,negative
FOXS1,negative
FRMD4B,negative
FRMD7,negative
FRRS1,negative
G3BP2,negative
GAB2,negative
GAB3,negative
GABARAP,negative
GABRG3,negative
GAD1,negative
GADD45A,negative
GALNT10,negative
GALNT7,negative
GAPDH,negative
GATA3,negative
GATA4,negative
GBX1,negative
GCNT2,negative
GEM,negative
GIMAP8,negative
GLCE,negative
GLIS2,negative
GLP1R,negative
GMDS,negative
GOLGA8B,negative
GPNMB,negative
GPR1,negative
GPR158,negative
GPR183,negative
GRIK1,negative
GSE1,negative
H1FX,negative
H2AFZ,negative
HAS2,negative
HCG22,negative
HERPUD1,negative
HEYL,negative
