gene,label
CAMK2D,positive
FARP1,positive
FUT9,positive
MOB3B,positive
NLGN1,positive
NLGN4X,positive
PDE4B,positive
SSBP2,positive
STXBP5-AS1,positive
ZNF148,positive
ZNF704,positive
ADCY2,positive
ADD3,positive
GRK3,positive
ANK3,positive
BDNF,positive
CACNA1C,positive
CACNA1D,positive
CD47,positive
AKR1C4,positive
COMT,positive
NCAN,positive
DRD1,positive
DRD5,positive
GAD1,positive
GAD2,positive
GRIK2,positive
GRIN2A,positive
NR3C1,positive
GSK3A,positive
GSK3B,positive
HTR2A,positive
INS,positive
ITIH1,positive
MTHFR,positive
NDUFV2,positive
NTRK1,positive
NTRK2,positive
PC,positive
SERPINA1,positive
POMC,positive
POU3F2,positive
RELN,positive
PVALB,positive
RPS6KA2,positive
S100B,positive
SCN2A,positive
SLC5A3,positive
SLC6A4,positive
SNAP25,positive
SP4,positive
SRPK2,positive
STK4,positive
TAC1,positive
TACR1,positive
TRPC3,positive
TRPM2,positive
TSHB,positive
BHLHE40,positive
FADS2,positive
ZNF592,positive
TRANK1,positive
HDAC5,positive
CPLX2,positive
CPLX1,positive
NTNG1,positive
SHANK2,positive
RIMS1,positive
TENM4,positive
PLEKHO1,positive
MRPS33,positive
ZCCHC2,positive
PACS1,positive
FSTL5,positive
STARD9,positive
LMAN2L,positive
NTNG2,positive
DIXDC1,positive
THSD7A,positive
A2M,negative
ABCG2,negative
ADAM28,negative
ADAMTS18,negative
ADAMTS19-AS1,negative
AFF1,negative
AHCTF1,negative
ANKRD30A,negative
ANO2,negative
ANTXR1,negative
APBB1IP,negative
ARHGAP24,negative
ATF6B,negative
AUTS2,negative
BCL6B,negative
BLNK,negative
BNC2,negative
BRF2,negative
C22orf34,negative
C3,negative
CACNA1E,negative
CALCR,negative
CBLN2,negative
CCBE1,negative
CCNG2,negative
CD86,negative
CDH11,negative
CDH18,negative
CDH8,negative
CDK8,negative
CENPF,negative
CHGB,negative
CMKLR1,negative
COLEC12,negative
CPEB2,negative
CYP7B1,negative
CYSLTR2,negative
DAB1,negative
DBX2,negative
DENND2C,negative
DISC1,negative
DLEU2,negative
DNAH14,negative
DOCK8,negative
DOK5,negative
DUX4,negative
EBF1,negative
EGR3,negative
EGR4,negative
EMCN,negative
ENG,negative
EPAS1,negative
EPHA7,negative
EPS8,negative
EXOC3L1,negative
FAM13A,negative
FGD2,negative
FKBP5,negative
FLI1,negative
FLVCR2,negative
FMO2,negative
FNDC3B,negative
FOS,negative
FOSB,negative
FOSL2,negative
FOXJ2,negative
FOXL1,negative
FOXP1,negative
FOXP4,negative
FRMD5,negative
GALNTL6,negative
GATA2,negative
GIMAP8,negative
GRIA4,negative
GSTM5,negative
HLA-E,negative
HOXA6,negative
HPSE,negative
IFI44L,negative
IGF1,negative
IGSF11,negative
IKZF1,negative
IL1A,negative
IL1R1,negative
IL4R,negative
ING4,negative
INPP5D,negative
IRAK3,negative
IRX4,negative
ITGAM,negative
ITGAX,negative
ITIH5,negative
ITM2A,negative
JAG1,negative
JDP2,negative
JRK,negative
KCNC2,negative
KCNT2,negative
KCTD8,negative
KLF16,negative
LAPTM5,negative
LCOR,negative
LCORL,negative
LEF1,negative
LHX8,negative
LMX1B,negative
LPAR6,negative
LRRN1,negative
LY86,negative
LYN,negative
MAF,negative
MAN1A1,negative
MAPK4,negative
MECOM,negative
MEF2A,negative
MEIS2,negative
MLXIP,negative
MMP16,negative
MMRN1,negative
MN1,negative
MNDA,negative
MRC1,negative
MSX1,negative
MT2A,negative
MTSS1,negative
MYB,negative
MYCL,negative
MYO1B,negative
NCKAP1L,negative
NECTIN3,negative
NELFA,negative
NFATC1,negative
NFIB,negative
NFKB2,negative
NKX6-1,negative
NPAS4,negative
NR4A3,negative
OLFM3,negative
OLIG1,negative
OVCH1-AS1,negative
P2RY12,negative
P3H2,negative
P4HB,negative
PALD1,negative
PCDHA1,negative
PDE1A,negative
PDS5A,negative
PDZRN3,negative
PENK,negative
PGM5,negative
PHLDA2,negative
PIK3R5,negative
PKN2-AS1,negative
PPARD,negative
PROK2,negative
PTGS2,negative
PTPN13,negative
PTPN14,negative
PTPRK,negative
RAB2A,negative
RASSF2,negative
RFX3,negative
RGS5,negative
