gene,label
A1BG,positive
ADCY7,positive
AKT1,positive
APOA4,positive
APOE,positive
AVP,positive
BDNF,positive
BTG1,positive
CAMK2B,positive
CASP4,positive
CHD4,positive
CHI3L1,positive
CNR1,positive
COL3A1,positive
COMT,positive
CP,positive
DAO,positive
DLG1,positive
DPYD,positive
DPYSL2,positive
DRD1,positive
DRD2,positive
DRD3,positive
DRD4,positive
EIF5,positive
EPHX2,positive
F2,positive
FGFR1,positive
MTOR,positive
GABRA6,positive
GABRB2,positive
GABRD,positive
GAD1,positive
GAD2,positive
GC,positive
CBLIF,positive
GRIK2,positive
GRIK5,positive
GRIN2B,positive
GRIN2D,positive
NR3C1,positive
GRM2,positive
GRM3,positive
GSK3A,positive
GSK3B,positive
NRG1,positive
HINT1,positive
HLA-DRB1,positive
HP,positive
HRH1,positive
HTR2A,positive
HTR6,positive
HTR7,positive
IL1B,positive
IL2RA,positive
IL6,positive
IL6R,positive
INPP5A,positive
KCNB1,positive
KDR,positive
KPNA1,positive
LAMA2,positive
LRP1,positive
MAOB,positive
MET,positive
MTHFR,positive
ND4,positive
NDUFV2,positive
NOS1,positive
NRGN,positive
NTF3,positive
NTRK1,positive
NTSR1,positive
OXTR,positive
PAK2,positive
PCM1,positive
PDE4B,positive
PHB,positive
PIK3CB,positive
PLXNA2,positive
PML,positive
PRODH,positive
RELN,positive
PVALB,positive
RGS12,positive
CCL2,positive
SRSF1,positive
SLC1A1,positive
SLC6A1,positive
SLC6A3,positive
SLC6A4,positive
SP4,positive
SYN2,positive
SYP,positive
TAC1,positive
THBS1,positive
TNF,positive
TP53,positive
TPH1,positive
VIPR2,positive
NRIP1,positive
TRRAP,positive
RGS9,positive
SELENBP1,positive
NRXN1,positive
ADAMTS3,positive
PITPNM1,positive
RB1CC1,positive
MAGI2,positive
MAGEC1,positive
DGCR2,positive
NPRL2,positive
CELF2,positive
NRG3,positive
CHL1,positive
CPLX2,positive
CPLX1,positive
KLF12,positive
NTNG1,positive
TRAK1,positive
PLCL2,positive
PLCB1,positive
VPS39,positive
APOL2,positive
CNTNAP2,positive
DISC2,positive
DISC1,positive
SAP30BP,positive
SDF4,positive
UGT1A3,positive
AHI1,positive
SBNO1,positive
WDR11,positive
VPS35,positive
EDEM2,positive
PAG1,positive
RTN4,positive
FASTKD5,positive
RTN4R,positive
APOL4,positive
DTNBP1,positive
PGBD1,positive
NTNG2,positive
KDM2B,positive
SHANK3,positive
DIXDC1,positive
TSPAN18,positive
ESAM,positive
ZNF804A,positive
SLC26A7,positive
SLC26A8,positive
OR4C46,positive
FAM3D,positive
TEKT5,positive
ZNF480,positive
ZNF565,positive
SPATA5,positive
HNRNPA3,positive
ADGRF4,positive
NKAPL,positive
CFAP65,positive
ALS2CL,positive
DAOA,positive
LAMA1,positive
HCAR2,positive
CCDC137,positive
ZNF530,positive
ZKSCAN4,positive
GPR153,positive
MIR137,positive
ACOT6,positive
ADAD2,negative
ADAM28,negative
ADAMTS18,negative
ADGB,negative
AKAIN1,negative
AKAP5,negative
AKR1A1,negative
ALOX15B,negative
ANAPC11,negative
ANXA11,negative
AP1S2,negative
APEX2,negative
AQP4,negative
ARHGAP6,negative
ARID5A,negative
ARMC4,negative
ARPP19,negative
ATF3,negative
ATP10A,negative
BARHL1,negative
BCAM,negative
BEST3,negative
BEX2,negative
BEX4,negative
BEX5,negative
BHLHE22,negative
BMP3,negative
BNC2,negative
C1orf216,negative
C1QA,negative
C1QL3,negative
C1QTNF4,negative
C4orf3,negative
CA8,negative
CANX,negative
CBLN1,negative
CBLN3,negative
CCND1,negative
CD63,negative
CDH15,negative
CDKN1C,negative
CENPBD1,negative
CGNL1,negative
CHD7,negative
CHN1,negative
CLIC4,negative
COL6A3,negative
COPRS,negative
CRIP2,negative
CRYBG3,negative
CSTB,negative
CUTA,negative
DBP,negative
DDX20,negative
DSG2,negative
DUSP1,negative
E2F1,negative
EBF1,negative
EGR1,negative
EGR2,negative
EGR3,negative
EGR4,negative
EIF3K,negative
EIF4A3,negative
EIF5A2,negative
ELOVL5,negative
ENC1,negative
ENTPD1,negative
EOMES,negative
EPAS1,negative
EPHB6,negative
FAM107B,negative
FGF2,negative
FLT1,negative
FOSB,negative
FOSL2,negative
FOXA1,negative
FOXC1,negative
FOXC2,negative
FOXD1,negative
FOXN1,negative
FRMPD2,negative
GADD45G,negative
GAL,negative
GFRA1,negative
GJB2,negative
GJB6,negative
GOT1,negative
GPR174,negative
GPRC5C,negative
GRIN2C,negative
GRM4,negative
GTF2A1,negative
HIST1H2BD,negative
HMCN1,negative
HMGB1,negative
HMGB2,negative
HMGB3,negative
ID1,negative
ID3,negative
IFRD1,negative
IGF2BP2,negative
IL16,negative
IL1R1,negative
ILF2,negative
IMP3,negative
INSM1,negative
IRF9,negative
ITGA4,negative
JAG1,negative
KCNAB1,negative
KCNIP2,negative
KCNK1,negative
KISS1R,negative
KLF16,negative
KLF2,negative
LAMA4,negative
LAMP5,negative
LAMTOR1,negative
LATS2,negative
LHX9,negative
LINC01478,negative
LIPH,negative
LMO2,negative
LPCAT2,negative
LST1,negative
M1AP,negative
MAF,negative
MAFB,negative
MAFF,negative
MAP1B,negative
MECOM,negative
MIEN1,negative
MOBP,negative
MPZL2,negative
MSC,negative
MSX1,negative
MT1E,negative
MYL12B,negative
MYO10,negative
NACA,negative
NANOS1,negative
NCOA7,negative
NECAB1,negative
NECAB2,negative
NEFH,negative
NEUROD1,negative
NEUROD6,negative
NGB,negative
NHS,negative
NME2,negative
NNAT,negative
NPAS4,negative
NR1H2,negative
NR2F1,negative
NR2F2,negative
NR4A1,negative
NR4A2,negative
NR4A3,negative
NSG1,negative
NXPH3,negative
NXPH4,negative
ONECUT1,negative
OR8D1,negative
PAK1,negative
PARP4,negative
PAUPAR,negative
PAX7,negative
PCDH8,negative
PCDHGA12,negative
PCP4L1,negative
PCSK9,negative
PDGFD,negative
PEA15,negative
PEG10,negative
PEG3,negative
PGM2L1,negative
PI15,negative
PIK3R1,negative
PKIB,negative
PQBP1,negative
PRDM12,negative
PRR5L,negative
PRRX1,negative
PSAP,negative
PTCH1,negative
PTGDS,negative
PTHLH,negative
PTMS,negative
PTN,negative
RAB20,negative
RAN,negative
RARRES2,negative
RASSF6,negative
RORC,negative
RPL14,negative
RPL18A,negative
RPL19,negative
RPL27,negative
RPL3,negative
RPL32,negative
RPRM,negative
RPS13,negative
RPS16,negative
RPS19,negative
RPS28,negative
RXRB,negative
S100A10,negative
S100A16,negative
S100A6,negative
SAMSN1,negative
SATB1,negative
SCART1,negative
SEC11C,negative
SERPINF1,negative
SIGIRR,negative
SLC1A3,negative
SLC22A24,negative
SLC22A31,negative
SLC6A13,negative
SMAD6,negative
SMAD7,negative
SMC3,negative
SMIM24,negative
SNRPD2,negative
SOST,negative
SOX10,negative
SP7,negative
SPARCL1,negative
SPP1,negative
SPTY2D1,negative
SRGN,negative
STMN1,negative
SUMO1,negative
SYF2,negative
SYT6,negative
TAF1A,negative
TBX18,negative
TBX4,negative
TCEA2,negative
TCEAL2,negative
TCEAL4,negative
TCEAL6,negative
TENM1,negative
TGFA,negative
TGIF1,negative
THY1,negative
TIPARP,negative
TLX3,negative
TMEM155,negative
TMEM200A,negative
TNFAIP8,negative
TNFRSF4,negative
TNNT1,negative
TPBG,negative
TSPAN15,negative
TSR2,negative
TXN,negative
TYROBP,negative
UAP1,negative
UBASH3B,negative
UBE2M,negative
UBXN1,negative
UNCX,negative
VEZF1,negative
VSTM2A,negative
VWF,negative
YWHAZ,negative
YY1,negative
ZBED6,negative
ZBTB14,negative
ZBTB18,negative
ZBTB3,negative
ZBTB33,negative
ZBTB45,negative
ZBTB7A,negative
ZBTB7B,negative
ZIC1,negative
ZIC2,negative
ZIC3,negative
ZIC4,negative
ZIC5,negative
ZNF267,negative
ZNF275,negative
ZNF28,negative
ZNF319,negative
ZNF331,negative
ZNF366,negative
ZNF436,negative
ZNF512,negative
ZNF524,negative
ZNF527,negative
ZNF619,negative
ZNF622,negative
ZNF672,negative
ZNF687,negative
ZNF706,negative
ZNF879,negative
