gene,label
AGGF1,positive
AHCTF1,positive
ASAP1,positive
ATP1A1,positive
BICC1,positive
CARF,positive
CERS6,positive
CHAMP1,positive
CNTN3,positive
CUX2,positive
DIRAS1,positive
EML6,positive
FBXL16,positive
GABRA1,positive
GOLGA8B,positive
GPR158,positive
GPR176,positive
GSG1L,positive
HMGXB4,positive
HSF2,positive
INTS6L,positive
KLHL2,positive
MDGA2,positive
MEF2C,positive
MIOS,positive
MLF2,positive
MPP7,positive
MTPN,positive
NFKB1,positive
NOL4,positive
NOS1AP,positive
NTM,positive
NTNG2,positive
OLFM3,positive
PAX6,positive
PAX7,positive
PDE4C,positive
PDS5A,positive
PHLPP1,positive
PRRT1,positive
RAB3C,positive
RFX7,positive
RIMS1,positive
RTN3,positive
SATB2,positive
SBK1,positive
SETBP1,positive
SH3BGRL2,positive
SIN3A,positive
SLC12A5,positive
SNRPN,positive
SPOCK2,positive
SYT4,positive
TCF7L2,positive
TENM2,positive
TFDP1,positive
TMEM132D,positive
TRAF3,positive
UNC5D,positive
ZBTB7A,positive
ZEB1,positive
ZNF286A,positive
ZNF398,positive
ZNF75A,positive
ACTB,positive
ACTL6B,positive
ACY1,positive
ADGRL1,positive
ADNP,positive
ADSL,positive
AFF2,positive
AGO2,positive
AHDC1,positive
AHI1,positive
ALDH1A3,positive
ALDH5A1,positive
ALG6,positive
ANK2,positive
ABCE1,positive
ANK3,positive
ANKRD11,positive
ANKRD17,positive
ANKS1B,positive
AP1S2,positive
AP2S1,positive
ARHGEF9,positive
ARID1B,positive
ARID2,positive
ARX,positive
ANP32A,positive
ARF3,positive
ASH1L,positive
ASXL3,positive
ATP1A3,positive
ATP2B1,positive
ATRX,positive
AUTS2,positive
BAZ2B,positive
BCKDK,positive
BCL11A,positive
BCORL1,positive
BICRA,positive
BRAF,positive
BRSK2,positive
BRWD3,positive
C12orf57,positive
CACNA1A,positive
CACNA1C,positive
CACNA1E,positive
CACNA2D3,positive
CAMK2A,positive
CAMK2B,positive
CAPRIN1,positive
CASK,positive
CASZ1,positive
CCNK,positive
CAMTA2,positive
CDK13,positive
CDK19,positive
CDK8,positive
CDKL5,positive
CELF2,positive
CELF4,positive
CEP290,positive
CHD1,positive
CHD2,positive
CHD3,positive
CHD7,positive
CHD8,positive
CHKB,positive
CIC,positive
CLCN4,positive
CNKSR2,positive
CNOT1,positive
CNOT3,positive
CNTNAP2,positive
CORO1A,positive
CREBBP,positive
CPSF7,positive
CSDE1,positive
CSNK1G1,positive
CSNK2A1,positive
CSNK2B,positive
CTCF,positive
CTNNA2,positive
CTNNB1,positive
CTR9,positive
CUL3,positive
CYP27A1,positive
DDX23,positive
DDX3X,positive
DEAF1,positive
DEPDC5,positive
DHCR7,positive
DHX30,positive
DIP2A,positive
DLG4,positive
DLL1,positive
DMD,positive
DMPK,positive
DNMT3A,positive
DOLK,positive
DPYSL2,positive
DSCAM,positive
DYNC1H1,positive
DYRK1A,positive
EBF3,positive
EEF1A2,positive
EHMT1,positive
EIF3G,positive
ELAVL3,positive
ELP2,positive
EP300,positive
FBRSL1,positive
FBXO11,positive
FGF13,positive
FMR1,positive
FOXG1,positive
FOXP1,positive
FOXP2,positive
FRMPD4,positive
GABBR2,positive
GABRA3,positive
GABRB2,positive
GABRB3,positive
GALNT2,positive
GATM,positive
GFAP,positive
GIGYF1,positive
GIGYF2,positive
GNAI1,positive
GNB2,positive
GRIA2,positive
GRIA3,positive
GRIN1,positive
GRIN2A,positive
GRIN2B,positive
H1-4,positive
H4C11,positive
H4C3,positive
H4C5,positive
HCFC1,positive
HDAC4,positive
HDAC8,positive
HDLBP,positive
HECTD4,positive
HEPACAM,positive
HERC1,positive
HERC2,positive
HIVEP2,positive
HNRNPD,positive
HNRNPH2,positive
HNRNPK,positive
HNRNPR,positive
HNRNPU,positive
HNRNPUL2,positive
HOXA1,positive
HRAS,positive
HUWE1,positive
INTS1,positive
IQSEC2,positive
IRF2BPL,positive
KANSL1,positive
KAT6A,positive
KATNAL2,positive
KCNB1,positive
KCNQ3,positive
KDM3B,positive
KDM5B,positive
KDM5C,positive
KDM6B,positive
KIAA0232,positive
KIF1A,positive
KIF5C,positive
KMT2A,positive
KDM2B,positive
KLHL20,positive
KMT2C,positive
KMT2E,positive
KMT5B,positive
KPTN,positive
LDB1,positive
LNPK,positive
LRRC4C,positive
LZTR1,positive
MAGEL2,positive
MAP1A,positive
MBD5,positive
MBOAT7,positive
MECP2,positive
MED12L,positive
MED13,positive
MED13L,positive
MEIS2,positive
MKX,positive
MSL3,positive
MSX2,positive
MTOR,positive
MYT1L,positive
NAA15,positive
NACC1,positive
NBEA,positive
NCKAP1,positive
MYCBP2,positive
NCOA1,positive
NEXMIF,positive
NF1,positive
NFIB,positive
NFIX,positive
NIPBL,positive
NLGN2,positive
NLGN3,positive
NLGN4X,positive
NOVA2,positive
NR2F1,positive
NR3C2,positive
NR4A2,positive
NRXN1,positive
NRXN2,positive
NRXN3,positive
NSD1,positive
NSD2,positive
NTNG1,positive
NTRK2,positive
NUP155,positive
OCRL,positive
PABPC1,positive
PACS1,positive
PACS2,positive
PAH,positive
PAK1,positive
PAX5,positive
PCCA,positive
PCCB,positive
PCDH19,positive
PDZD8,positive
PHF12,positive
PHF2,positive
PHF21A,positive
PHF3,positive
PHF8,positive
PHIP,positive
PIK3R2,positive
PJA1,positive
POGZ,positive
POLR2A,positive
POLR3A,positive
POMGNT1,positive
POU3F3,positive
PPM1D,positive
PPP1R9B,positive
PPP2CA,positive
PPP2R5D,positive
PPP3CA,positive
PPP5C,positive
PRKD1,positive
PRODH,positive
PRPF8,positive
PRR12,positive
PSMD12,positive
PTCHD1,positive
PTEN,positive
PRR14L,positive
PSMD11,positive
PSMD6,positive
PTK7,positive
PTPN11,positive
PTPN4,positive
RAC1,positive
RAI1,positive
RALA,positive
RALGAPB,positive
RELN,positive
RERE,positive
RFX3,positive
