gene,label
ANTXR1,positive
CDH18,positive
CNTNAP5,positive
CYP7B1,positive
DOK5,positive
EFHC2,positive
FARP1,positive
JADE3,positive
NFIB,positive
OLFM3,positive
PDE4B,positive
PLCB4,positive
SLC12A8,positive
SLC16A2,positive
SLC8A1,positive
ZFPM2,positive
ADCY2,positive
ADD3,positive
GRK3,positive
ANK3,positive
BDNF,positive
CACNA1C,positive
CACNA1D,positive
CD47,positive
AKR1C4,positive
COMT,positive
NCAN,positive
DRD1,positive
DRD5,positive
GAD1,positive
GAD2,positive
GRIK2,positive
GRIN2A,positive
NR3C1,positive
GSK3A,positive
GSK3B,positive
HTR2A,positive
INS,positive
ITIH1,positive
MTHFR,positive
NDUFV2,positive
NTRK1,positive
NTRK2,positive
PC,positive
SERPINA1,positive
POMC,positive
POU3F2,positive
RELN,positive
PVALB,positive
RPS6KA2,positive
S100B,positive
SCN2A,positive
SLC5A3,positive
SLC6A4,positive
SNAP25,positive
SP4,positive
SRPK2,positive
STK4,positive
TAC1,positive
TACR1,positive
TRPC3,positive
TRPM2,positive
TSHB,positive
BHLHE40,positive
FADS2,positive
ZNF592,positive
TRANK1,positive
HDAC5,positive
CPLX2,positive
CPLX1,positive
NTNG1,positive
SHANK2,positive
RIMS1,positive
SSBP2,positive
TENM4,positive
PLEKHO1,positive
MRPS33,positive
ZCCHC2,positive
PACS1,positive
FSTL5,positive
STARD9,positive
LMAN2L,positive
NTNG2,positive
DIXDC1,positive
THSD7A,positive
A2M,negative
ABCB1,negative
ABCG2,negative
ADAM28,negative
ADAMTS17,negative
ADAMTS20,negative
ADAMTS3,negative
ADAMTS6,negative
ADARB2,negative
AFF4,negative
AHR,negative
ANKRD22,negative
APBB1IP,negative
APLN,negative
ARHGAP12,negative
ARHGAP24,negative
ARHGEF40,negative
ARSJ,negative
ARX,negative
ASB5,negative
ATP10A,negative
BCL6B,negative
BCLAF1,negative
BEND6,negative
BLNK,negative
BNC2,negative
BTBD11,negative
C3,negative
CACHD1,negative
CACNG4,negative
CADM1,negative
CASC15,negative
CASP4,negative
CBLB,negative
CBLN2,negative
CCNG2,negative
CCNJL,negative
CD2,negative
CD86,negative
CDH11,negative
CELF4,negative
CFL2,negative
CHST9,negative
CLDN1,negative
CLOCK,negative
CMKLR1,negative
CMTM7,negative
CNOT4,negative
CNTN4,negative
COL24A1,negative
CRIM1,negative
CSF1R,negative
