gene,label
ADARB1,positive
ADCY2,positive
ADGRB3,positive
ADGRL2,positive
ALCAM,positive
AMMECR1,positive
ANKRD36B,positive
ANKS1B,positive
APC,positive
ARAP2,positive
ATP1A3,positive
BTNL9,positive
C8orf34,positive
CA10,positive
CACNA1G,positive
CACNG2,positive
CCSER1,positive
CDH11,positive
CEP126,positive
CEP85L,positive
CFAP206,positive
CHN1,positive
CNKSR2,positive
COL12A1,positive
COL4A2,positive
CPEB4,positive
CPLX2,positive
DAB1,positive
DCSTAMP,positive
DGKH,positive
DLX6,positive
DMD,positive
DNAH14,positive
DYNC1I1,positive
ENTPD1-AS1,positive
EPB41L5,positive
EPHA3,positive
EPHA6,positive
ERC2,positive
ESYT2,positive
FAM171A1,positive
FGF12,positive
FHL1,positive
FHOD3,positive
FOXG1-AS1,positive
GAD2,positive
GALNT18,positive
GALNTL6,positive
GLRA3,positive
GMDS,positive
HCN1,positive
HSP90B1,positive
KCNH7,positive
KCNK9,positive
KCTD8,positive
LAMB1,positive
LCORL,positive
LINC01138,positive
LINC01500,positive
MAGI2,positive
MAGI3,positive
MAP2,positive
MEOX2,positive
MIR137HG,positive
NCEH1,positive
NCOA3,positive
NCOR2,positive
NIPAL2,positive
NREP,positive
OBSCN,positive
ONECUT2,positive
PDE10A,positive
PDGFD,positive
PDS5A,positive
PDZRN3,positive
POU3F2,positive
PROX1,positive
PRUNE2,positive
PTK2,positive
PTPN3,positive
PTPRS,positive
RALYL,positive
RBM17,positive
RELN,positive
RORB,positive
RTN1,positive
SCART1,positive
SCMH1,positive
SCUBE2,positive
SEMA3F,positive
SHISA6,positive
SIL1,positive
SLC8A3,positive
SLIT2,positive
SMARCD3,positive
SMURF1,positive
ST5,positive
STXBP5-AS1,positive
SULF2,positive
SYBU,positive
SYNPR,positive
THOC2,positive
TMEM196,positive
TRIM46,positive
UACA,positive
UXS1,positive
VIPR2,positive
VWC2L,positive
WDR17,positive
ZBBX,positive
ZBTB16,positive
ZFPM1,positive
ZFX,positive
ZNF112,positive
ZNF14,positive
ZNF281,positive
ZNF322,positive
ZNF804B,positive
ADD3,positive
GRK3,positive
ANK3,positive
BDNF,positive
CACNA1C,positive
CACNA1D,positive
CD47,positive
AKR1C4,positive
COMT,positive
NCAN,positive
DRD1,positive
DRD5,positive
GAD1,positive
GRIK2,positive
GRIN2A,positive
NR3C1,positive
GSK3A,positive
GSK3B,positive
HTR2A,positive
INS,positive
ITIH1,positive
MTHFR,positive
NDUFV2,positive
NTRK1,positive
NTRK2,positive
PC,positive
PDE4B,positive
SERPINA1,positive
POMC,positive
PVALB,positive
RPS6KA2,positive
S100B,positive
