gene,label
ADCY2,positive
ADGRL2,positive
ADNP,positive
AFF4,positive
AHR,positive
ANKS1B,positive
ARHGAP12,positive
ATRNL1,positive
BACH1,positive
BCLAF1,positive
BMPR1A,positive
CADPS,positive
CCNI,positive
CDH11,positive
CFAP206,positive
CHL1,positive
CHST9,positive
CNTNAP5,positive
CTNNB1,positive
DENND1B,positive
DLEU1,positive
DPYSL5,positive
ELAVL2,positive
ELMOD1,positive
EPHA6,positive
EPHB6,positive
EXTL3,positive
EZH2,positive
FAM102B,positive
FAM153B,positive
FAM155A,positive
FAM169A,positive
FAM49B,positive
FBXW7,positive
FHL2,positive
FNBP1L,positive
FSTL4,positive
GABPB1,positive
GABRA1,positive
GABRA4,positive
GABRB2,positive
GABRB3,positive
GALNT7,positive
GNG12,positive
GRIA4,positive
GRIN2B,positive
GRM5,positive
GTDC1,positive
GUCY1A2,positive
HECTD4,positive
HERC1,positive
HEY2,positive
HIVEP2,positive
HSPA8,positive
HTR2C,positive
HTR4,positive
JARID2,positive
KAT6B,positive
KCTD8,positive
KMT2A,positive
LMO3,positive
LPL,positive
MAGI2,positive
MAML3,positive
MAPK8,positive
MBD5,positive
MEF2C,positive
MGA,positive
MLLT3,positive
MYH10,positive
NCOA3,positive
NFIB,positive
NFYB,positive
NPTN,positive
NRCAM,positive
NRG1,positive
NTNG1,positive
NWD2,positive
OSBPL3,positive
PAK3,positive
PCNX1,positive
PDE4D,positive
PEG3,positive
PIK3R1,positive
PKP4,positive
PLEKHA6,positive
PPP3CA,positive
PPP3R1,positive
PRNP,positive
PTPRD,positive
PTPRM,positive
RAB14,positive
RALA,positive
RALGPS2,positive
RAPGEF5,positive
RASSF8,positive
RIMS2,positive
ROBO2,positive
RPS6KA3,positive
SALL3,positive
SATB2,positive
SCMH1,positive
SEMA5A,positive
SERPINI1,positive
SLC4A7,positive
SMARCA2,positive
SNAP91,positive
SORCS3,positive
SOX5,positive
ST7,positive
SV2C,positive
SYBU,positive
SYNE1,positive
SYT1,positive
TAB2,positive
TFDP2,positive
TTTY14,positive
UBE2E3,positive
UBE2W,positive
VPS13A,positive
WASF1,positive
YWHAZ,positive
ZBTB18,positive
ZBTB25,positive
ZFP30,positive
ZFYVE9,positive
ZNF521,positive
ZNF639,positive
ZNRF2,positive
ACTB,positive
ACTL6B,positive
ACY1,positive
ADGRL1,positive
ADSL,positive
AFF2,positive
AGO2,positive
AHDC1,positive
AHI1,positive
ALDH1A3,positive
ALDH5A1,positive
ALG6,positive
ANK2,positive
ABCE1,positive
ANK3,positive
ANKRD11,positive
ANKRD17,positive
AP1S2,positive
AP2S1,positive
ARHGEF9,positive
ARID1B,positive
ARID2,positive
ARX,positive
ANP32A,positive
ARF3,positive
ASH1L,positive
ASXL3,positive
ATP1A1,positive
ATP1A3,positive
ATP2B1,positive
ATRX,positive
AUTS2,positive
BAZ2B,positive
