gene,label
ADAM23,positive
ADK,positive
ARNT2,positive
ARPP21,positive
BBX,positive
CACNA2D1,positive
CADM1,positive
CADM2,positive
CDK8,positive
EDIL3,positive
ENOX1,positive
GIT2,positive
IGF1R,positive
ITPKB,positive
KDM4C,positive
LCOR,positive
LDLRAD4,positive
LPAR1,positive
MAGI2,positive
NLGN1,positive
NRXN1,positive
PACS1,positive
PAG1,positive
PBX1,positive
PDE4B,positive
PDGFD,positive
PHF12,positive
PPFIA2,positive
PPP1R9A,positive
PPP3R1,positive
PRKACB,positive
RABGAP1L,positive
RELN,positive
RHOBTB1,positive
RNF24,positive
ROBO1,positive
SIK2,positive
SLC35F1,positive
SPATS2L,positive
STOX2,positive
STXBP5L,positive
TBL1XR1,positive
TCF4,positive
TMTC2,positive
TRIO,positive
VRK2,positive
ZBTB20,positive
ZNF563,positive
ZNF592,positive
ADCY2,positive
ADD3,positive
GRK3,positive
ANK3,positive
BDNF,positive
CACNA1C,positive
CACNA1D,positive
CD47,positive
AKR1C4,positive
COMT,positive
NCAN,positive
DRD1,positive
DRD5,positive
GAD1,positive
GAD2,positive
GRIK2,positive
GRIN2A,positive
NR3C1,positive
GSK3A,positive
GSK3B,positive
HTR2A,positive
INS,positive
ITIH1,positive
MTHFR,positive
NDUFV2,positive
NTRK1,positive
NTRK2,positive
PC,positive
SERPINA1,positive
POMC,positive
POU3F2,positive
PVALB,positive
RPS6KA2,positive
S100B,positive
SCN2A,positive
SLC5A3,positive
SLC6A4,positive
SNAP25,positive
SP4,positive
SRPK2,positive
STK4,positive
TAC1,positive
TACR1,positive
TRPC3,positive
TRPM2,positive
TSHB,positive
BHLHE40,positive
FADS2,positive
TRANK1,positive
HDAC5,positive
CPLX2,positive
CPLX1,positive
NTNG1,positive
SHANK2,positive
RIMS1,positive
SSBP2,positive
TENM4,positive
PLEKHO1,positive
MRPS33,positive
ZCCHC2,positive
FSTL5,positive
STARD9,positive
LMAN2L,positive
NTNG2,positive
DIXDC1,positive
THSD7A,positive
AAGAB,negative
ABHD17C,negative
ABHD18,negative
ABHD2,negative
ABLIM1,negative
ABLIM3,negative
ABR,negative
ACBD6,negative
ACTA2,negative
ACTN1,negative
ACVR1,negative
ADAM22,negative
ADAM28,negative
ADAM9,negative
ADAMTS17,negative
ADAMTS6,negative
ADAMTS8,negative
ADARB2,negative
ADD2,negative
ADD3-AS1,negative
ADGRE2,negative
ADGRF5,negative
ADGRL2,negative
ADGRL3,negative
ADNP2,negative
AFF1,negative
AFF4,negative
AGAP2,negative
AGAP2-AS1,negative
AGBL3,negative
AGL,negative
AHCTF1,negative
AHCYL2,negative
AHNAK,negative
AHR,negative
AK5,negative
AKAP13,negative
AMOTL1,negative
ANGPT2,negative
ANGPTL1,negative
ANK1,negative
ANKH,negative
ANKMY1,negative
ANKMY2,negative
ANKRD29,negative
ANKRD46,negative
ANO2,negative
ANO3,negative
ANTXR2,negative
ANXA1,negative
AP3B2,negative
APEX2,negative
AQP1,negative
AR,negative
ARHGAP12,negative
ARHGAP18,negative
ARHGAP22,negative
ARHGAP24,negative
ARHGEF3,negative
ARID5B,negative
ARL6,negative
ARPP19,negative
ATAD5,negative
