gene,label
ADNP,positive
APP,positive
ATF2,positive
ATP6V1A,positive
BBX,positive
C3orf67,positive
CACNA1D,positive
CDK19,positive
CDK6,positive
CHD1,positive
CLOCK,positive
CNOT4,positive
CTNNB1,positive
CUEDC1,positive
DACH1,positive
ELF2,positive
ESRRG,positive
FAM53B,positive
FN1,positive
FOXJ2,positive
FOXJ3,positive
GABPB1,positive
GNG12-AS1,positive
GREB1L,positive
GRIA4,positive
GTF2I,positive
HBP1,positive
HDAC9,positive
HP1BP3,positive
IQSEC3,positive
JARID2,positive
KANSL1,positive
KDM4C,positive
KLF12,positive
LINC01551,positive
MARCH1,positive
MBNL1,positive
NAP1L1,positive
NCOA2,positive
NFIA,positive
NFIB,positive
NR1D2,positive
NR2F1,positive
NR3C1,positive
NR3C2,positive
NRF1,positive
OSBPL8,positive
PDLIM5,positive
PHF21A,positive
PLD5,positive
PPP3R1,positive
PRKAA2,positive
PTPRK,positive
QKI,positive
RBMS1,positive
RCAN2,positive
RFX3,positive
RORA,positive
RORB-AS1,positive
SATB2,positive
SMAD4,positive
SOX11,positive
SOX5,positive
SSH1,positive
ST6GAL2,positive
STAT5B,positive
STXBP5,positive
STXBP6,positive
SYT1,positive
TBL1XR1,positive
THRB,positive
TSHZ3,positive
VEZF1,positive
WDR17,positive
ZBTB20,positive
ZBTB25,positive
ZFHX4-AS1,positive
ZNF462,positive
ZNF521,positive
ZNF639,positive
ZNF804A,positive
ACTB,positive
ACTL6B,positive
ACY1,positive
ADGRL1,positive
ADSL,positive
AFF2,positive
AGO2,positive
AHDC1,positive
AHI1,positive
ALDH1A3,positive
ALDH5A1,positive
ALG6,positive
ANK2,positive
ABCE1,positive
ANK3,positive
ANKRD11,positive
ANKRD17,positive
ANKS1B,positive
AP1S2,positive
AP2S1,positive
ARHGEF9,positive
ARID1B,positive
ARID2,positive
ARX,positive
ANP32A,positive
ARF3,positive
ASH1L,positive
ASXL3,positive
ATP1A1,positive
ATP1A3,positive
ATP2B1,positive
ATRX,positive
AUTS2,positive
BAZ2B,positive
BCKDK,positive
BCL11A,positive
BCORL1,positive
BICRA,positive
BRAF,positive
BRSK2,positive
BRWD3,positive
C12orf57,positive
CACNA1A,positive
CACNA1C,positive
CACNA1E,positive
CACNA2D3,positive
CAMK2A,positive
CAMK2B,positive
CAPRIN1,positive
CASK,positive
CASZ1,positive
CCNK,positive
CAMTA2,positive
CDK13,positive
CDK8,positive
CDKL5,positive
CELF2,positive
CELF4,positive
CEP290,positive
CHAMP1,positive
CHD2,positive
CHD3,positive
CHD7,positive
CHD8,positive
CHKB,positive
CIC,positive
CLCN4,positive
CNKSR2,positive
CNOT1,positive
CNOT3,positive
CNTNAP2,positive
CORO1A,positive
CREBBP,positive
CPSF7,positive
CSDE1,positive
CSNK1G1,positive
CSNK2A1,positive
CSNK2B,positive
CTCF,positive
CTNNA2,positive
CTR9,positive
CUL3,positive
CUX2,positive
CYP27A1,positive
DDX23,positive
DDX3X,positive
DEAF1,positive
DEPDC5,positive
DHCR7,positive
DHX30,positive
DIP2A,positive
DLG4,positive
DLL1,positive
DMD,positive
DMPK,positive
DNMT3A,positive
DOLK,positive
DPYSL2,positive
DSCAM,positive
DYNC1H1,positive
DYRK1A,positive
EBF3,positive
EEF1A2,positive
EHMT1,positive
EIF3G,positive
ELAVL3,positive
ELP2,positive
EP300,positive
FBRSL1,positive
FBXO11,positive
FGF13,positive
FMR1,positive
FOXG1,positive
FOXP1,positive
FOXP2,positive
FRMPD4,positive
GABBR2,positive
GABRA3,positive
GABRB2,positive
GABRB3,positive
GALNT2,positive
GATM,positive
GFAP,positive
GIGYF1,positive
GIGYF2,positive
GNAI1,positive
GNB2,positive
GRIA2,positive
GRIA3,positive
GRIN1,positive
GRIN2A,positive
GRIN2B,positive
H1-4,positive
H4C11,positive
H4C3,positive
H4C5,positive
HCFC1,positive
HDAC4,positive
HDAC8,positive
HDLBP,positive
HECTD4,positive
HEPACAM,positive
HERC1,positive
HERC2,positive
HIVEP2,positive
HNRNPD,positive
HNRNPH2,positive
HNRNPK,positive
HNRNPR,positive
HNRNPU,positive
HNRNPUL2,positive
HOXA1,positive
HRAS,positive
HUWE1,positive
INTS1,positive
IQSEC2,positive
IRF2BPL,positive
KAT6A,positive
KATNAL2,positive
KCNB1,positive
KCNQ3,positive
KDM3B,positive
KDM5B,positive
KDM5C,positive
KDM6B,positive
KIAA0232,positive
KIF1A,positive
KIF5C,positive
KMT2A,positive
KDM2B,positive
KLHL20,positive
KMT2C,positive
KMT2E,positive
KMT5B,positive
KPTN,positive
LDB1,positive
LNPK,positive
LRRC4C,positive
LZTR1,positive
MAGEL2,positive
MAP1A,positive
MBD5,positive
MBOAT7,positive
MECP2,positive
MED12L,positive
MED13,positive
MED13L,positive
MEF2C,positive
MEIS2,positive
MKX,positive
MSL3,positive
MSX2,positive
MTOR,positive
MYT1L,positive
NAA15,positive
NACC1,positive
NBEA,positive
NCKAP1,positive
MYCBP2,positive
NCOA1,positive
NEXMIF,positive
NF1,positive
NFIX,positive
NIPBL,positive
NLGN2,positive
NLGN3,positive
NLGN4X,positive
NOVA2,positive
NR4A2,positive
NRXN1,positive
NRXN2,positive
NRXN3,positive
NSD1,positive
NSD2,positive
NTNG1,positive
NTNG2,positive
NTRK2,positive
NUP155,positive
OCRL,positive
PABPC1,positive
PACS1,positive
PACS2,positive
PAH,positive
PAK1,positive
PAX5,positive
PAX6,positive
PCCA,positive
PCCB,positive
PCDH19,positive
PDZD8,positive
PHF12,positive
PHF2,positive
PHF3,positive
PHF8,positive
PHIP,positive
PIK3R2,positive
PJA1,positive
POGZ,positive
POLR2A,positive
POLR3A,positive
POMGNT1,positive
POU3F3,positive
PPM1D,positive
PPP1R9B,positive
PPP2CA,positive
PPP2R5D,positive
PPP3CA,positive
PPP5C,positive
PRKD1,positive
PRODH,positive
PRPF8,positive
PRR12,positive
PSMD12,positive
PTCHD1,positive
PTEN,positive
PRR14L,positive
PSMD11,positive
PSMD6,positive
PTK7,positive
PTPN11,positive
PTPN4,positive
RAC1,positive
RAI1,positive
RALA,positive
RALGAPB,positive
RELN,positive
RERE,positive
RFX4,positive
RFX7,positive
RHEB,positive
RIMS1,positive
RIMS2,positive
RLIM,positive
RNF135,positive
RORB,positive
RPS6KA3,positive
RSRC1,positive
RUNX1T1,positive
SATB1,positive
SCAF4,positive
SCN1A,positive
SCN2A,positive
SCN8A,positive
RAD21,positive
SETBP1,positive
SETD1A,positive
SETD1B,positive
SETD2,positive
SETD5,positive
SGSH,positive
SHANK2,positive
SHANK3,positive
SIK1,positive
SIN3A,positive
SIN3B,positive
SKI,positive
SLC45A1,positive
SLC6A1,positive
SLC9A6,positive
SLITRK2,positive
SMARCA2,positive
SMARCA4,positive
SMARCC2,positive
SMC1A,positive
SMC3,positive
SNX14,positive
SON,positive
SOS2,positive
SOX6,positive
SPAST,positive
SPTBN1,positive
SRCAP,positive
SRPRA,positive
SRRM2,positive
STAG1,positive
STXBP1,positive
SUPT16H,positive
SYN1,positive
SYNGAP1,positive
TAF1,positive
TAF4,positive
TANC2,positive
TAOK1,positive
TBC1D23,positive
TBCK,positive
TBR1,positive
TBX1,positive
TCF20,positive
TBCEL,positive
TCEAL1,positive
TCF4,positive
TCF7L2,positive
TEK,positive
TET3,positive
TFE3,positive
TLK2,positive
TM4SF20,positive
TM9SF4,positive
TRAF7,positive
TRAPPC6B,positive
TLE3,positive
TRIM23,positive
TRIO,positive
TRIP12,positive
TRRAP,positive
TSC1,positive
TSC2,positive
TTI2,positive
TTN,positive
UBE3A,positive
TSHZ1,positive
UBAP2L,positive
UNC13A,positive
UPF3B,positive
USP7,positive
USP9X,positive
VAMP2,positive
VPS13B,positive
WAC,positive
WASF1,positive
WDFY3,positive
WDR26,positive
XPC,positive
YWHAG,positive
YY1,positive
ZBTB7A,positive
UBR1,positive
WDR5,positive
ZBTB21,positive
ZMIZ1,positive
ZMYM2,positive
ZMYND8,positive
ZNF292,positive
ZSWIM6,positive
A2M,negative
ABCB1,negative
ABCB4,negative
ABCC4,negative
ABHD12B,negative
ABL1,negative
ACAN,negative
ACER3,negative
ACSBG2,negative
ACTR2,negative
ADAMTS20,negative
ADAMTS9,negative
ADAP2,negative
ADCY7,negative
ADGRF5,negative
ADGRL4,negative
ADRB2,negative
AGGF1,negative
AGTPBP1,negative
AIRE,negative
AKR1C8P,negative
ALK,negative
ALX3,negative
AMMECR1,negative
AMOTL2,negative
AMPD3,negative
ANGPTL2,negative
ANK1,negative
ANXA2,negative
AOAH,negative
APBB1IP,negative
APEX2,negative
APOLD1,negative
AR,negative
ARHGAP11B,negative
ARHGAP24,negative
ARHGAP44,negative
ARHGAP5-AS1,negative
ARHGAP6,negative
ARHGAP9,negative
ARID3A,negative
ARID5B,negative
ARSG,negative
ASB11,negative
ATF5,negative
ATF7IP2,negative
ATP10A,negative
ATP8A1,negative
ATXN1,negative
AZIN2,negative
B3GLCT,negative
B3GNT5,negative
BACH1,negative
BARX2,negative
BATF,negative
BCAR3,negative
BCL6,negative
BCL6B,negative
BEX3,negative
BIN2,negative
BMP2K,negative
BMP5,negative
BMX,negative
BNC2,negative
BUB1B,negative
C12orf75,negative
C16orf74,negative
C17orf50,negative
C18orf25,negative
C1orf167,negative
C21orf91,negative
C2CD2,negative
C3,negative
C7,negative
C7orf31,negative
CACNB4,negative
CACNG5,negative
CAMK1D,negative
CAPN13,negative
CARD11,negative
CASP5,negative
CCDC15,negative
CCDC168,negative
CD163L1,negative
CD2,negative
CD244,negative
CD36,negative
CD44,negative
CD84,negative
CD86,negative
CDC42EP4,negative
CDC42SE2,negative
CDC5L,negative
CDH7,negative
CDK18,negative
CDK20,negative
CEACAM21,negative
CEBPA,negative
CENPE,negative
CENPF,negative
CENPJ,negative
CENPU,negative
CEP55,negative
CERS3,negative
CES4A,negative
CFH,negative
CFL2,negative
CHI3L1,negative
CHODL,negative
CHRNA2,negative
CHURC1,negative
CIITA,negative
CLDN14,negative
CLDN5,negative
CLEC5A,negative
CLK1,negative
CLRN3,negative
CMIP,negative
CMTM7,negative
CNGA1,negative
CNGA3,negative
CNR1,negative
COL18A1,negative
COL25A1,negative
COLEC12,negative
CORIN,negative
CORO2B,negative
CPM,negative
CPNE4,negative
CPVL,negative
CRADD,negative
CRB2,negative
CRYBG3,negative
CSF1R,negative
CSF3R,negative
CTBP2,negative
CX3CR1,negative
CXCL14,negative
CXorf21,negative
CYBB,negative
CYFIP1,negative
