gene,label
ADGRL3,positive
BBX,positive
BRINP3,positive
CADM1,positive
CADM2,positive
CRISPLD1,positive
EDIL3,positive
FUT9,positive
GTDC1,positive
HMBOX1,positive
HS6ST3,positive
JAZF1,positive
LRFN5,positive
MAGI2,positive
MAP2,positive
MARCH1,positive
MLLT3,positive
NFIA,positive
NTNG1,positive
PDE4B,positive
POU2F1,positive
PTPRD,positive
RTN1,positive
TBL1XR1,positive
TFDP2,positive
THRB,positive
TOX,positive
ZBTB20,positive
ZFPM2,positive
ZNF644,positive
ZNF704,positive
ADCY2,positive
ADD3,positive
GRK3,positive
ANK3,positive
BDNF,positive
CACNA1C,positive
CACNA1D,positive
CD47,positive
AKR1C4,positive
COMT,positive
NCAN,positive
DRD1,positive
DRD5,positive
GAD1,positive
GAD2,positive
GRIK2,positive
GRIN2A,positive
NR3C1,positive
GSK3A,positive
GSK3B,positive
HTR2A,positive
INS,positive
ITIH1,positive
MTHFR,positive
NDUFV2,positive
NTRK1,positive
NTRK2,positive
PC,positive
SERPINA1,positive
POMC,positive
POU3F2,positive
RELN,positive
PVALB,positive
RPS6KA2,positive
S100B,positive
SCN2A,positive
SLC5A3,positive
SLC6A4,positive
SNAP25,positive
SP4,positive
SRPK2,positive
STK4,positive
TAC1,positive
TACR1,positive
TRPC3,positive
TRPM2,positive
TSHB,positive
BHLHE40,positive
FADS2,positive
ZNF592,positive
TRANK1,positive
HDAC5,positive
CPLX2,positive
CPLX1,positive
SHANK2,positive
RIMS1,positive
SSBP2,positive
TENM4,positive
PLEKHO1,positive
MRPS33,positive
ZCCHC2,positive
PACS1,positive
FSTL5,positive
STARD9,positive
LMAN2L,positive
NTNG2,positive
DIXDC1,positive
THSD7A,positive
A2ML1,negative
ABCC11,negative
ABHD17B,negative
ABI3BP,negative
ABL1,negative
ACAT2,negative
ACTL6A,negative
ACTN2,negative
ACVR1,negative
ADAM23,negative
ADAMTS3,negative
ADAMTS9,negative
ADK,negative
ALK,negative
ALS2,negative
AMPH,negative
ANKRD30BL,negative
ANKRD50,negative
ANLN,negative
ANO6,negative
AP3S2,negative
APAF1,negative
APOL2,negative
APOL6,negative
APOLD1,negative
ARFGAP1,negative
ARHGAP11B,negative
ARHGAP5-AS1,negative
ARHGEF28,negative
ARID3A,negative
ARID5B,negative
ARNT2,negative
ARNTL2,negative
ASCL1,negative
ASPA,negative
ASPM,negative
ATP10A,negative
ATP8B4,negative
ATR,negative
B3GALT6,negative
BACH1,negative
