gene,label
AOX1,positive
BDNF,positive
BHLHE40,positive
CTNND2,positive
HIST2H2BE,positive
HLF,positive
HSD11B1,positive
KLF10,positive
NR4A3,positive
PROS1,positive
PUM3,positive
RARA,positive
RASSF3,positive
TIGD1,positive
ZGRF1,positive
ZNF440,positive
ZNF551,positive
ZNF613,positive
ZNF79,positive
ZSCAN20,positive
ADCY2,positive
ADD3,positive
GRK3,positive
ANK3,positive
CACNA1C,positive
CACNA1D,positive
CD47,positive
AKR1C4,positive
COMT,positive
NCAN,positive
DRD1,positive
DRD5,positive
GAD1,positive
GAD2,positive
GRIK2,positive
GRIN2A,positive
NR3C1,positive
GSK3A,positive
GSK3B,positive
HTR2A,positive
INS,positive
ITIH1,positive
MTHFR,positive
NDUFV2,positive
NTRK1,positive
NTRK2,positive
PC,positive
PDE4B,positive
SERPINA1,positive
POMC,positive
POU3F2,positive
RELN,positive
PVALB,positive
RPS6KA2,positive
S100B,positive
SCN2A,positive
SLC5A3,positive
SLC6A4,positive
SNAP25,positive
SP4,positive
SRPK2,positive
STK4,positive
TAC1,positive
TACR1,positive
TRPC3,positive
TRPM2,positive
TSHB,positive
FADS2,positive
ZNF592,positive
TRANK1,positive
HDAC5,positive
CPLX2,positive
CPLX1,positive
NTNG1,positive
SHANK2,positive
RIMS1,positive
SSBP2,positive
TENM4,positive
PLEKHO1,positive
MRPS33,positive
ZCCHC2,positive
PACS1,positive
FSTL5,positive
STARD9,positive
LMAN2L,positive
NTNG2,positive
DIXDC1,positive
THSD7A,positive
ABHD17B,negative
ACER3,negative
ACTB,negative
ACTN2,negative
ADAM32,negative
ADAMTS17,negative
ADAMTSL3,negative
ADAP1,negative
ADARB2,negative
ADCY6,negative
ADD2,negative
ADH1C,negative
ADTRP,negative
AGMO,negative
AGO1,negative
AHCTF1,negative
AHDC1,negative
AIG1,negative
ALG6,negative
ALX4,negative
AMD1,negative
AMOT,negative
ANAPC1,negative
ANAPC4,negative
ANKH,negative
ANKRD44-IT1,negative
AOAH,negative
AP1S2,negative
APBA1,negative
APBB1IP,negative
APC,negative
APEH,negative
APMAP,negative
APOD,negative
ARAP2,negative
ARHGAP22,negative
ARID5A,negative
ARIH2OS,negative
ARMC2,negative
ARSJ,negative
ASB6,negative
ATF1,negative
ATF5,negative
ATF6B,negative
ATG10,negative
ATL1,negative
ATP10D,negative
ATP1A1,negative
ATP1B1,negative
ATP6V1D,negative
