module	cluster_size	overlap	p_value
M_0	10	0	1
M_1	141	10	0.267631925516848
M_10	47	2	0.749900724815242
M_11	46	1	0.930521318327149
M_12	43	2	0.704341480958771
M_13	42	3	0.422220978902798
M_14	42	1	0.912325606227034
M_15	40	3	0.391520983774449
M_16	40	0	1
M_17	39	1	0.895624290006633
M_18	37	1	0.882762857270504
M_19	33	3	0.282155845359126
M_2	117	10	0.120520238786241
M_20	33	5	0.0352318881975475
M_21	32	4	0.102022039525297
M_22	29	1	0.813456882700581
M_23	28	1	0.802313632191587
M_24	28	0	1
M_25	28	2	0.471714727729007
M_26	28	0	1
M_27	28	0	1
M_28	28	5	0.0183235144455779
M_29	27	0	1
M_3	112	1	0.998533411319066
M_30	26	1	0.77799612968933
M_31	26	5	0.0134419979944676
M_32	26	1	0.77799612968933
M_33	26	1	0.77799612968933
M_34	26	3	0.176822287110368
M_35	25	1	0.764740657031765
M_36	25	2	0.413620644170926
M_37	24	0	1
M_38	23	4	0.0370955894244554
M_39	23	2	0.373177108633533
M_4	110	5	0.747836499031783
M_40	22	1	0.720047994370506
M_41	22	1	0.720047994370506
M_42	22	3	0.122882163396742
M_43	21	1	0.703342689449099
M_44	21	1	0.703342689449099
M_45	21	0	1
M_46	21	5	0.00523660076381328
M_47	21	1	0.703342689449099
M_48	21	0	1
M_49	20	0	1
M_5	87	4	0.728073443207714
M_50	20	2	0.310590987081157
M_51	20	1	0.685643232481358
M_52	20	0	1
M_53	19	0	1
M_54	19	0	1
M_55	19	2	0.289393619318669
M_56	19	0	1
M_57	18	2	0.268120407607954
M_58	18	0	1
M_59	17	2	0.246837154427761
M_6	58	9	0.00464269493289972
M_60	16	1	0.603670184337212
M_61	16	0	1
M_62	16	1	0.603670184337212
M_63	16	1	0.603670184337212
M_64	16	0	1
M_65	16	0	1
M_66	16	0	1
M_67	16	0	1
M_68	15	0	1
M_69	15	0	1
M_7	56	3	0.6162946778984
M_70	15	0	1
M_71	15	0	1
M_72	15	0	1
M_73	15	2	0.204544715505571
M_74	15	1	0.580041904975034
M_75	14	3	0.0402579643587979
M_76	14	1	0.555008759010404
M_77	14	0	1
M_78	14	1	0.555008759010404
M_79	13	0	1
M_8	51	1	0.948061320831132
M_80	13	1	0.528487443009659
M_81	12	3	0.0264370801168612
M_82	12	0	1
M_83	12	1	0.500389727331539
M_84	12	0	1
M_85	11	1	0.470622165603414
M_86	11	0	1
M_87	11	1	0.470622165603414
M_88	11	0	1
M_89	11	0	1
M_9	48	0	1
M_90	11	1	0.470622165603414
M_91	10	0	1
M_92	10	1	0.439085787110485
M_93	10	0	1
M_94	10	0	1
M_95	10	2	0.104985626962592
