gene,label
ADCY2,positive
ADGRB3,positive
ADGRL2,positive
ADNP,positive
AFF3,positive
AHI1,positive
AKT3,positive
ARHGAP10,positive
ARHGAP20,positive
ARHGEF7,positive
ARHGEF9,positive
ARL6,positive
ATP8B1,positive
ATRNL1,positive
AXIN2,positive
BASP1,positive
BCL11A,positive
BMPER,positive
BRAF,positive
BRINP1,positive
BRINP3,positive
CACNA1C,positive
CACNA1D,positive
CACNA1G,positive
CACNA2D1,positive
CACNG8,positive
CADPS,positive
CAMTA1,positive
CASC15,positive
CDH11,positive
CDH18,positive
CDKL5,positive
CEBPG,positive
CELF5,positive
CHODL,positive
CHRM2,positive
CNKSR2,positive
CNOT4,positive
CNTNAP2,positive
CNTNAP5,positive
COL12A1,positive
COL24A1,positive
CPEB1,positive
CPNE8,positive
CREB1,positive
DANT2,positive
DAPK1,positive
DLGAP1,positive
DOK6,positive
DPP10,positive
DPY19L1,positive
EFNA5,positive
EFNB2,positive
EGFR,positive
EGLN3,positive
ELMOD1,positive
ENOX1,positive
EPHA4,positive
EPHA5,positive
ERC2,positive
ESR2,positive
ETV3,positive
FAM153A,positive
FAM200B,positive
FGF12,positive
FGF14,positive
FOXN2,positive
FRMPD4,positive
FZD3,positive
GABRA1,positive
GABRB2,positive
GABRB3,positive
GLRB,positive
GPR158,positive
GPR63,positive
GRIA2,positive
GRIA4,positive
GRIK5,positive
GRIN2B,positive
GRM4,positive
GRM5,positive
GRM8,positive
GUCY1A2,positive
GULP1,positive
HCN1,positive
HECW1,positive
HEPACAM,positive
HERC1,positive
HIVEP2,positive
HOOK1,positive
HP1BP3,positive
HS6ST3,positive
HTR1E,positive
HTR3B,positive
IRF2,positive
JMJD1C,positive
JPH4,positive
KCNB2,positive
KCNC2,positive
KCNJ6,positive
KCNK1,positive
KCNN3,positive
KCNV1,positive
KIAA0319,positive
KIAA1549,positive
KLHL14,positive
LCORL,positive
LIFR,positive
LIN28B,positive
LIN28B-AS1,positive
LIN7A,positive
LINGO2,positive
LPIN1,positive
LRRC8B,positive
MAPRE2,positive
MCHR2,positive
MED12L,positive
MEIS2,positive
MET,positive
MFSD6,positive
MGA,positive
MKX,positive
MLLT3,positive
MMP17,positive
MPP6,positive
MPPED1,positive
MPPED2,positive
MSI1,positive
NAP1L1,positive
NBEA,positive
NCOR1,positive
NETO1,positive
NETO2,positive
NFE2L2,positive
NFIA,positive
NLGN1,positive
NLGN4X,positive
NPTN,positive
NPY1R,positive
NR2C2,positive
NR2F1-AS1,positive
NR3C1,positive
NRXN2,positive
NRXN3,positive
NTNG1,positive
OTP,positive
OTUD4,positive
PAK3,positive
PARD3,positive
PCDH7,positive
PCLO,positive
PDE4D,positive
PHF21A,positive
PHF21B,positive
PHF24,positive
PHLPP2,positive
PLEKHA6,positive
PLEKHA7,positive
PPFIA2,positive
PRR16,positive
PTCHD1,positive
PTPN4,positive
PTPRD,positive
R3HDM1,positive
RAD21,positive
RAPGEF4,positive
RFX2,positive
RHOBTB3,positive
RIMS1,positive
ROCK2,positive
RORB,positive
SATB1,positive
SCN8A,positive
SERPINI1,positive
SLC2A13,positive
SLC4A10,positive
SLC4A8,positive
SLIT3,positive
SMAD4,positive
SMAD5,positive
SMARCD3,positive
SORCS3,positive
SPTAN1,positive
SPTSSB,positive
ST6GAL2,positive
STAT5B,positive
STXBP1,positive
STYK1,positive
SYNGAP1,positive
SYT1,positive
SYT14,positive
TBL1XR1,positive
TEAD2,positive
TFAP2D,positive
THBS4,positive
TMEM108,positive
TMEM266,positive
TPBG,positive
TRAF3IP2-AS1,positive
TSC22D1,positive
TSHZ1,positive
TSPOAP1,positive
UNC80,positive
VEZF1,positive
WDR17,positive
YWHAZ,positive
ZEB1,positive
ZIM2,positive
ZNF222,positive
ZNF385B,positive
ZNF398,positive
ZNF644,positive
ZNF701,positive
ZNF804A,positive
ZNF821,positive
ACTB,positive
ACTL6B,positive
ACY1,positive
ADGRL1,positive
ADSL,positive
AFF2,positive
AGO2,positive
AHDC1,positive
ALDH1A3,positive
ALDH5A1,positive
ALG6,positive
ANK2,positive
ABCE1,positive
ANK3,positive
ANKRD11,positive
ANKRD17,positive
ANKS1B,positive
AP1S2,positive
AP2S1,positive
ARID1B,positive
ARID2,positive
ARX,positive
ANP32A,positive
ARF3,positive
ASH1L,positive
ASXL3,positive
ATP1A1,positive
ATP1A3,positive
ATP2B1,positive
ATRX,positive
AUTS2,positive
BAZ2B,positive
BCKDK,positive
BCORL1,positive
BICRA,positive
BRSK2,positive
BRWD3,positive
C12orf57,positive
CACNA1A,positive
CACNA1E,positive
CACNA2D3,positive
CAMK2A,positive
CAMK2B,positive
CAPRIN1,positive
CASK,positive
CASZ1,positive
CCNK,positive
CAMTA2,positive
CDK13,positive
CDK19,positive
CDK8,positive
CELF2,positive
CELF4,positive
CEP290,positive
CHAMP1,positive
CHD1,positive
CHD2,positive
CHD3,positive
CHD7,positive
CHD8,positive
CHKB,positive
CIC,positive
CLCN4,positive
CNOT1,positive
CNOT3,positive
CORO1A,positive
CREBBP,positive
CPSF7,positive
CSDE1,positive
CSNK1G1,positive
CSNK2A1,positive
CSNK2B,positive
CTCF,positive
CTNNA2,positive
CTNNB1,positive
CTR9,positive
CUL3,positive
CUX2,positive
CYP27A1,positive
DDX23,positive
DDX3X,positive
DEAF1,positive
DEPDC5,positive
DHCR7,positive
DHX30,positive
DIP2A,positive
DLG4,positive
DLL1,positive
DMD,positive
DMPK,positive
DNMT3A,positive
DOLK,positive
DPYSL2,positive
DSCAM,positive
DYNC1H1,positive
DYRK1A,positive
EBF3,positive
EEF1A2,positive
EHMT1,positive
EIF3G,positive
ELAVL3,positive
ELP2,positive
EP300,positive
FBRSL1,positive
FBXO11,positive
FGF13,positive
FMR1,positive
FOXG1,positive
FOXP1,positive
FOXP2,positive
GABBR2,positive
GABRA3,positive
GALNT2,positive
GATM,positive
GFAP,positive
GIGYF1,positive
GIGYF2,positive
GNAI1,positive
GNB2,positive
GRIA3,positive
GRIN1,positive
GRIN2A,positive
H1-4,positive
H4C11,positive
H4C3,positive
H4C5,positive
HCFC1,positive
HDAC4,positive
HDAC8,positive
HDLBP,positive
HECTD4,positive
HERC2,positive
HNRNPD,positive
HNRNPH2,positive
HNRNPK,positive
HNRNPR,positive
HNRNPU,positive
HNRNPUL2,positive
HOXA1,positive
HRAS,positive
HUWE1,positive
INTS1,positive
IQSEC2,positive
IRF2BPL,positive
KANSL1,positive
KAT6A,positive
KATNAL2,positive
KCNB1,positive
KCNQ3,positive
KDM3B,positive
KDM5B,positive
KDM5C,positive
KDM6B,positive
KIAA0232,positive
KIF1A,positive
KIF5C,positive
KMT2A,positive
KDM2B,positive
KLHL20,positive
KMT2C,positive
KMT2E,positive
KMT5B,positive
KPTN,positive
LDB1,positive
LNPK,positive
LRRC4C,positive
LZTR1,positive
MAGEL2,positive
MAP1A,positive
MBD5,positive
MBOAT7,positive
MECP2,positive
MED13,positive
MED13L,positive
MEF2C,positive
MSL3,positive
MSX2,positive
MTOR,positive
MYT1L,positive
NAA15,positive
NACC1,positive
NCKAP1,positive
MYCBP2,positive
NCOA1,positive
NEXMIF,positive
NF1,positive
NFIB,positive
NFIX,positive
NIPBL,positive
NLGN2,positive
NLGN3,positive
NOVA2,positive
NR2F1,positive
NR3C2,positive
NR4A2,positive
NRXN1,positive
NSD1,positive
NSD2,positive
NTNG2,positive
NTRK2,positive
NUP155,positive
OCRL,positive
PABPC1,positive
PACS1,positive
PACS2,positive
PAH,positive
PAK1,positive
PAX5,positive
PAX6,positive
PCCA,positive
PCCB,positive
PCDH19,positive
PDZD8,positive
PHF12,positive
PHF2,positive
PHF3,positive
PHF8,positive
PHIP,positive
PIK3R2,positive
PJA1,positive
POGZ,positive
POLR2A,positive
POLR3A,positive
POMGNT1,positive
POU3F3,positive
PPM1D,positive
PPP1R9B,positive
PPP2CA,positive
PPP2R5D,positive
PPP3CA,positive
PPP5C,positive
PRKD1,positive
PRODH,positive
PRPF8,positive
PRR12,positive
PSMD12,positive
PTEN,positive
PRR14L,positive
PSMD11,positive
PSMD6,positive
PTK7,positive
PTPN11,positive
RAC1,positive
RAI1,positive
RALA,positive
RALGAPB,positive
RELN,positive
RERE,positive
RFX3,positive
RFX4,positive
RFX7,positive
RHEB,positive
RIMS2,positive
RLIM,positive
RNF135,positive
RORA,positive
RPS6KA3,positive
RSRC1,positive
RUNX1T1,positive
SATB2,positive
SCAF4,positive
SCN1A,positive
SCN2A,positive
SETBP1,positive
SETD1A,positive
SETD1B,positive
SETD2,positive
SETD5,positive
SGSH,positive
SHANK2,positive
SHANK3,positive
SIK1,positive
SIN3A,positive
SIN3B,positive
SKI,positive
SLC45A1,positive
SLC6A1,positive
SLC9A6,positive
SLITRK2,positive
SMARCA2,positive
SMARCA4,positive
SMARCC2,positive
SMC1A,positive
SMC3,positive
SNX14,positive
SON,positive
SOS2,positive
SOX5,positive
SOX6,positive
SPAST,positive
SPTBN1,positive
SRCAP,positive
SRPRA,positive
SRRM2,positive
STAG1,positive
SUPT16H,positive
SYN1,positive
TAF1,positive
TAF4,positive
TANC2,positive
TAOK1,positive
TBC1D23,positive
TBCK,positive
TBR1,positive
TBX1,positive
TCF20,positive
TBCEL,positive
TCEAL1,positive
TCF4,positive
TCF7L2,positive
TEK,positive
TET3,positive
TFE3,positive
TLK2,positive
TM4SF20,positive
TM9SF4,positive
TRAF7,positive
TRAPPC6B,positive
TLE3,positive
TRIM23,positive
TRIO,positive
TRIP12,positive
TRRAP,positive
TSC1,positive
TSC2,positive
TSHZ3,positive
TTI2,positive
TTN,positive
UBE3A,positive
UBAP2L,positive
UNC13A,positive
UPF3B,positive
USP7,positive
USP9X,positive
VAMP2,positive
VPS13B,positive
WAC,positive
WASF1,positive
WDFY3,positive
WDR26,positive
XPC,positive
YWHAG,positive
YY1,positive
ZBTB20,positive
ZBTB7A,positive
UBR1,positive
WDR5,positive
ZBTB21,positive
ZMIZ1,positive
ZMYM2,positive
ZMYND8,positive
ZNF292,positive
ZNF462,positive
ZSWIM6,positive
ABCB1,negative
ABCG2,negative
ABI2,negative
ACVR1C,negative
ADAM23,negative
ADCY1,negative
ADD3,negative
ADD3-AS1,negative
ADGRF5,negative
ADGRL3,negative
ADGRV1,negative
ADRA1A,negative
AHR,negative
AK5,negative
ALX3,negative
AMMECR1,negative
ANKRD30B,negative
ANO1,negative
ANO2,negative
APBB2,negative
APCDD1,negative
APOLD1,negative
APP,negative
AQP4,negative
ARHGAP11B,negative
ARHGAP44,negative
ARHGDIG,negative
ARNTL,negative
ARPC5L,negative
ASPDH,negative
ATF7,negative
ATP10A,negative
ATP6V1G1,negative
B3GAT1,negative
BACH2,negative
BAHCC1,negative
BATF,negative
BCL3,negative
BCL6,negative
BEGAIN,negative
BICC1,negative
BRCA1,negative
BRIP1,negative
BRSK1,negative
BTBD3,negative
BZW2,negative
C1orf21,negative
C2CD4B,negative
C2orf83,negative
CA10,negative
CALCR,negative
CAMK2N1,negative
CCK,negative
CD83,negative
CDC45,negative
CDH8,negative
CDKN2D,negative
CDON,negative
CDYL2,negative
CEBPA,negative
CELSR3,negative
CENPE,negative
CENPF,negative
CENPM,negative
CENPU,negative
CGNL1,negative
CHL1,negative
CHSY3,negative
CKAP2L,negative
CLDN5,negative
CLSPN,negative
CNN3,negative
CNTN1,negative
COBLL1,negative
CP,negative
CREB3,negative
CRHR2,negative
CSMD1,negative
DAB2,negative
DBX2,negative
DCBLD2,negative
DIAPH3,negative
DKK2,negative
DLC1,negative
DMTN,negative
DNAJB1,negative
DNM3,negative
DPP10-AS1,negative
DPP6,negative
DPY19L2,negative
DYNLL1,negative
DYNLL2,negative
E2F1,negative
E2F2,negative
E2F7,negative
E2F8,negative
EBF1,negative
ECSCR,negative
ELAVL2,negative
ELAVL4,negative
ELK3,negative
ELK4,negative
EMP1,negative
EMX2OS,negative
ENPP1,negative
EPHA6,negative
EPHB6,negative
EPN2,negative
ERBB4,negative
ERG,negative
ESRP1,negative
ESYT2,negative
ETNPPL,negative
ETV2,negative
EYA1,negative
EYA2,negative
EYA4,negative
EZH2,negative
EZR,negative
FA2H,negative
FAM107A,negative
FAM107B,negative
FAM111B,negative
FAM169A,negative
FAM171A1,negative
FAM78B,negative
FBLN7,negative
FBXL17,negative
FBXL7,negative
FERMT2,negative
FGF2,negative
FLT1,negative
FOXC1,negative
FOXD2,negative
FOXD4L6,negative
FOXN4,negative
FOXO6,negative
FOXP4,negative
FREM3,negative
FRMD5,negative
FRMD6,negative
FRYL,negative
FTCDNL1,negative
GABARAPL2,negative
GABPB1,negative
GABRA2,negative
GABRG2,negative
GALNT5,negative
GAS2,negative
GATA2,negative
GATA5,negative
GBX1,negative
GJA5,negative
GLIS3,negative
GNAZ,negative
GNG11,negative
GPR22,negative
GPSM2,negative
GRB10,negative
GREB1L,negative
GRHL2,negative
GRIN2C,negative
GRM1,negative
GSC,negative
GTSE1,negative
GZF1,negative
HACD3,negative
HAR1A,negative
HAS2-AS1,negative
HEY2,negative
HFM1,negative
HIF1A,negative
HIF3A,negative
HKDC1,negative
HLCS,negative
HMBOX1,negative
HMGB1,negative
