gene,label
A1BG,positive
ADCY7,positive
AKT1,positive
APOA4,positive
APOE,positive
AVP,positive
BDNF,positive
BTG1,positive
CAMK2B,positive
CASP4,positive
CHD4,positive
CHI3L1,positive
CNR1,positive
COL3A1,positive
COMT,positive
CP,positive
DAO,positive
DLG1,positive
DPYD,positive
DPYSL2,positive
DRD1,positive
DRD2,positive
DRD3,positive
DRD4,positive
EIF5,positive
EPHX2,positive
F2,positive
FGFR1,positive
MTOR,positive
GABRA6,positive
GABRB2,positive
GABRD,positive
GAD1,positive
GAD2,positive
GC,positive
CBLIF,positive
GRIK2,positive
GRIK5,positive
GRIN2B,positive
GRIN2D,positive
NR3C1,positive
GRM2,positive
GRM3,positive
GSK3A,positive
GSK3B,positive
NRG1,positive
HINT1,positive
HLA-DRB1,positive
HP,positive
HRH1,positive
HTR2A,positive
HTR6,positive
HTR7,positive
IL1B,positive
IL2RA,positive
IL6,positive
IL6R,positive
INPP5A,positive
KCNB1,positive
KDR,positive
KPNA1,positive
LAMA2,positive
LRP1,positive
MAOB,positive
MET,positive
MTHFR,positive
ND4,positive
NDUFV2,positive
NOS1,positive
NRGN,positive
NTF3,positive
NTRK1,positive
NTSR1,positive
OXTR,positive
PAK2,positive
PCM1,positive
PDE4B,positive
PHB,positive
PIK3CB,positive
PLXNA2,positive
PML,positive
PRODH,positive
RELN,positive
PVALB,positive
RGS12,positive
CCL2,positive
SRSF1,positive
SLC1A1,positive
SLC6A1,positive
SLC6A3,positive
SLC6A4,positive
SP4,positive
SYN2,positive
SYP,positive
TAC1,positive
THBS1,positive
TNF,positive
TP53,positive
TPH1,positive
VIPR2,positive
NRIP1,positive
TRRAP,positive
RGS9,positive
SELENBP1,positive
NRXN1,positive
ADAMTS3,positive
PITPNM1,positive
RB1CC1,positive
MAGI2,positive
MAGEC1,positive
DGCR2,positive
NPRL2,positive
CELF2,positive
NRG3,positive
CHL1,positive
CPLX2,positive
CPLX1,positive
KLF12,positive
NTNG1,positive
TRAK1,positive
PLCL2,positive
PLCB1,positive
VPS39,positive
APOL2,positive
CNTNAP2,positive
DISC2,positive
DISC1,positive
SAP30BP,positive
SDF4,positive
UGT1A3,positive
AHI1,positive
SBNO1,positive
WDR11,positive
VPS35,positive
EDEM2,positive
PAG1,positive
RTN4,positive
FASTKD5,positive
RTN4R,positive
APOL4,positive
DTNBP1,positive
PGBD1,positive
NTNG2,positive
KDM2B,positive
SHANK3,positive
DIXDC1,positive
TSPAN18,positive
ESAM,positive
ZNF804A,positive
SLC26A7,positive
SLC26A8,positive
OR4C46,positive
FAM3D,positive
TEKT5,positive
ZNF480,positive
ZNF565,positive
SPATA5,positive
HNRNPA3,positive
ADGRF4,positive
NKAPL,positive
CFAP65,positive
ALS2CL,positive
DAOA,positive
LAMA1,positive
HCAR2,positive
CCDC137,positive
ZNF530,positive
ZKSCAN4,positive
GPR153,positive
MIR137,positive
ACOT6,positive
ABCA1,negative
ABRACL,negative
ADAM28,negative
ADD3-AS1,negative
ADPGK-AS1,negative
AEBP1,negative
AKAP5,negative
ALPK1,negative
ANAPC11,negative
ANGPT1,negative
AP1S2,negative
AR,negative
ARHGAP22,negative
ARHGAP24,negative
ARHGDIG,negative
ARHGEF28,negative
ATF4,negative
ATP10A,negative
ATP6V0D1,negative
ATP6V0E2,negative
ATP6V1G1,negative
BBOX1-AS1,negative
BCAS2,negative
BEX1,negative
BEX2,negative
BEX4,negative
BHLHE40,negative
BLOC1S2,negative
BMP7,negative
C18orf32,negative
C1QA,negative
C1QTNF9B,negative
C4orf3,negative
C8orf34,negative
CACYBP,negative
CANX,negative
CARD10,negative
CBFA2T2,negative
CCDC115,negative
CCNI,negative
CCT6A,negative
CD163,negative
CD44,negative
CDC14A,negative
CDC42,negative
CDC5L,negative
CDHR3,negative
CDK6,negative
CERS3,negative
CGNL1,negative
CHGB,negative
CHMP2A,negative
CHST9,negative
CLEC2B,negative
CLTB,negative
COL18A1,negative
COL25A1,negative
COL8A1,negative
COL9A2,negative
COPRS,negative
CRB1,negative
CREB1,negative
CSRP2,negative
CSTB,negative
CUTA,negative
CX3CR1,negative
DCDC2C,negative
DCTN1,negative
DDAH1,negative
DDT,negative
DIO1,negative
DNAH14,negative
DNAJB1,negative
DNAJC8,negative
DNPH1,negative
DOCK1,negative
DOK6,negative
DSTN,negative
E2F3,negative
ECSCR,negative
EGFL7,negative
EID1,negative
EIF1,negative
EIF1B,negative
EIF3K,negative
EIF4A3,negative
ELF2,negative
ELK3,negative
ELOVL5,negative
EPB41L4A,negative
ERP29,negative
EYA1,negative
FABP4,negative
FAT4,negative
FCGRT,negative
FLT1,negative
FLT3,negative
FNBP1L,negative
FOSL2,negative
FOXN1,negative
FOXO1,negative
FRMD6-AS2,negative
GAB2,negative
GABARAPL1,negative
GABRG3,negative
GALNTL6,negative
GAPDH,negative
GDPD2,negative
GDPD4,negative
GMFB,negative
GNAS,negative
GNB4,negative
GOLIM4,negative
GPC5,negative
GPC5-AS2,negative
GREB1L,negative
H1FX,negative
H2AFZ,negative
H3F3B,negative
HIRIP3,negative
HLA-DRA,negative
HMGB2,negative
HMGCR,negative
HMOX1,negative
HNRNPH2,negative
HTRA1,negative
ID3,negative
IGFBP7,negative
IGFN1,negative
ILF3,negative
ITIH5,negative
JUNB,negative
KANK1,negative
KLF2,negative
LAMTOR1,negative
LEPR,negative
LHX6,negative
LINC00499,negative
LINC00607,negative
LINC01122,negative
LINC01608,negative
LINGO2,negative
LRRC3B,negative
LUCAT1,negative
MAP1LC3A,negative
MAPK3,negative
MARCKS,negative
MC4R,negative
MCTP1,negative
MECOM,negative
MIEN1,negative
MT3,negative
MTSS1,negative
MYB,negative
MYO1B,negative
NCBP2,negative
NFATC1,negative
NFIA,negative
NFYC,negative
NME2,negative
NR2F2-AS1,negative
NR4A2,negative
NRN1,negative
OLIG1,negative
OSR1,negative
PAPLN,negative
PDLIM5,negative
PEG3,negative
PFN2,negative
PGAM1,negative
PGR,negative
PHLDB2,negative
PLD5,negative
PLEKHB2,negative
PNMA6A,negative
PNRC1,negative
PPARG,negative
PRDM12,negative
PRDM16,negative
PRKAR1A,negative
PRRX1,negative
PSAP,negative
PTGS2,negative
PTPRZ1,negative
QKI,negative
RAB31,negative
RAD23A,negative
RAN,negative
RASSF3,negative
RBM22,negative
RBMS1,negative
RBP4,negative
RFTN2,negative
RFX4,negative
RGS1,negative
RGS16,negative
RNASEK,negative
RNF220,negative
ROBO2,negative
RPL19,negative
RPL21,negative
RPL23,negative
RPL5,negative
RPL9,negative
RPLP2,negative
RPS2,negative
RPS28,negative
RPS6KA2,negative
RPS9,negative
S100A6,negative
SALL3,negative
SAP18,negative
SARAF,negative
SATB1,negative
SBDS,negative
SCG2,negative
SCIN,negative
SCN11A,negative
SDS,negative
SEC11C,negative
SEMA4A,negative
SERF2,negative
SET,negative
SGCZ,negative
SH3RF3,negative
SIGIRR,negative
SIK2,negative
SIX3,negative
SLC14A2,negative
SLC26A4,negative
SLC35F4,negative
SLC6A13,negative
SLCO5A1,negative
SMAD6,negative
SNTG2,negative
SP1,negative
SPRY1,negative
SSNA1,negative
SSU72,negative
ST6GAL1,negative
STK17B,negative
STMN1,negative
STON1-GTF2A1L,negative
STXBP6,negative
SUB1,negative
SUMO3,negative
SYPL2,negative
TCEA2,negative
TCEAL2,negative
TCEAL3,negative
TCEAL4,negative
TCEAL5,negative
TCEAL6,negative
TCEAL7,negative
TCEAL8,negative
TEN1,negative
THAP5,negative
THSD7B,negative
TLR4,negative
TMEM147,negative
TMEM155,negative
TMEM200A,negative
TNFRSF19,negative
TPT1,negative
TRPC4,negative
TRPM3,negative
TSIX,negative
TSR2,negative
TUBB,negative
TUBB2A,negative
TXN,negative
UBE2Q1,negative
UBE2S,negative
UBXN1,negative
UTS2B,negative
VCAN,negative
VEGFC,negative
VGF,negative
VWF,negative
WBP2,negative
YPEL5,negative
YWHAB,negative
ZCCHC24,negative
ZFHX4,negative
ZFHX4-AS1,negative
ZNF138,negative
ZNF284,negative
ZNF331,negative
ZNF366,negative
ZNF580,negative
ZNF596,negative
ZNF613,negative
ZNF646,negative
ZNF692,negative
ZNF701,negative
ZNF98,negative
