gene,label
ADGRB3,positive
ADGRL2,positive
ARAP2,positive
B3GAT1,positive
BRINP2,positive
CADM2,positive
CADPS2,positive
CBLN2,positive
CDH8,positive
CHN1,positive
CNR1,positive
CNTN4,positive
CNTN5,positive
CNTNAP5,positive
CTNNA2,positive
DCLK1,positive
DOK6,positive
FZD3,positive
GABRB2,positive
GLRB,positive
HDAC9,positive
HECW1,positive
HOMER1,positive
LINC00461,positive
LSAMP,positive
MCHR2,positive
MEF2C,positive
MIR31HG,positive
MYH10,positive
NRXN1,positive
NRXN3,positive
PCSK2,positive
PKN2-AS1,positive
PTPRO,positive
RIMS1,positive
RTN1,positive
SEMA5B,positive
SEMA6D,positive
SGCZ,positive
SNAP91,positive
SYBU,positive
TCF24,positive
TMEFF2,positive
ZNF385B,positive
A1BG,positive
ADCY7,positive
AKT1,positive
APOA4,positive
APOE,positive
AVP,positive
BDNF,positive
BTG1,positive
CAMK2B,positive
CASP4,positive
CHD4,positive
CHI3L1,positive
COL3A1,positive
COMT,positive
CP,positive
DAO,positive
DLG1,positive
DPYD,positive
DPYSL2,positive
DRD1,positive
DRD2,positive
DRD3,positive
DRD4,positive
EIF5,positive
EPHX2,positive
F2,positive
FGFR1,positive
MTOR,positive
GABRA6,positive
GABRD,positive
GAD1,positive
GAD2,positive
GC,positive
CBLIF,positive
GRIK2,positive
GRIK5,positive
GRIN2B,positive
GRIN2D,positive
NR3C1,positive
GRM2,positive
GRM3,positive
GSK3A,positive
GSK3B,positive
NRG1,positive
HINT1,positive
HLA-DRB1,positive
HP,positive
HRH1,positive
HTR2A,positive
HTR6,positive
HTR7,positive
IL1B,positive
IL2RA,positive
IL6,positive
IL6R,positive
INPP5A,positive
KCNB1,positive
KDR,positive
KPNA1,positive
LAMA2,positive
LRP1,positive
MAOB,positive
MET,positive
MTHFR,positive
ND4,positive
NDUFV2,positive
NOS1,positive
NRGN,positive
NTF3,positive
NTRK1,positive
NTSR1,positive
OXTR,positive
PAK2,positive
PCM1,positive
PDE4B,positive
PHB,positive
PIK3CB,positive
PLXNA2,positive
PML,positive
PRODH,positive
RELN,positive
PVALB,positive
RGS12,positive
CCL2,positive
SRSF1,positive
SLC1A1,positive
SLC6A1,positive
SLC6A3,positive
SLC6A4,positive
SP4,positive
SYN2,positive
SYP,positive
TAC1,positive
THBS1,positive
TNF,positive
TP53,positive
TPH1,positive
VIPR2,positive
NRIP1,positive
TRRAP,positive
RGS9,positive
SELENBP1,positive
ADAMTS3,positive
PITPNM1,positive
RB1CC1,positive
MAGI2,positive
MAGEC1,positive
DGCR2,positive
NPRL2,positive
CELF2,positive
NRG3,positive
CHL1,positive
CPLX2,positive
CPLX1,positive
KLF12,positive
NTNG1,positive
TRAK1,positive
PLCL2,positive
PLCB1,positive
VPS39,positive
APOL2,positive
CNTNAP2,positive
DISC2,positive
DISC1,positive
SAP30BP,positive
SDF4,positive
UGT1A3,positive
AHI1,positive
SBNO1,positive
WDR11,positive
VPS35,positive
EDEM2,positive
PAG1,positive
RTN4,positive
FASTKD5,positive
RTN4R,positive
APOL4,positive
DTNBP1,positive
PGBD1,positive
NTNG2,positive
KDM2B,positive
SHANK3,positive
DIXDC1,positive
TSPAN18,positive
ESAM,positive
ZNF804A,positive
SLC26A7,positive
SLC26A8,positive
OR4C46,positive
FAM3D,positive
TEKT5,positive
ZNF480,positive
ZNF565,positive
SPATA5,positive
HNRNPA3,positive
ADGRF4,positive
NKAPL,positive
CFAP65,positive
ALS2CL,positive
DAOA,positive
LAMA1,positive
HCAR2,positive
CCDC137,positive
ZNF530,positive
ZKSCAN4,positive
GPR153,positive
MIR137,positive
ACOT6,positive
ABCC4,negative
ABCC8,negative
ADAM12,negative
ADAMTS1,negative
ADAMTS19-AS1,negative
ADCY5,negative
ADGRG1,negative
AGBL1,negative
AGMO,negative
AHR,negative
ALCAM,negative
ALOX5,negative
ANKH,negative
ANKRD28,negative
ANKRD35,negative
ANO1,negative
ARHGEF28,negative
ARID3A,negative
ARID5B,negative
ARL4D,negative
ARSG,negative
ASCC1,negative
ASPSCR1,negative
ASXL3,negative
AZI2,negative
B4GALT4,negative
BAALC,negative
BATF3,negative
BCAT1,negative
BEST3,negative
BMI1,negative
BMP2,negative
BMP4,negative
BMP7,negative
BTNL9,negative
C12orf60,negative
C15orf41,negative
C3orf67,negative
C8orf34,negative
CACHD1,negative
CAMK2D,negative
CASC15,negative
CBR1,negative
CBS,negative
CCDC113,negative
CCDC25,negative
CCDC34,negative
CCDC88C,negative
CCNJL,negative
CCSER1,negative
CD9,negative
CDH4,negative
CEBPE,negative
CENPU,negative
CFAP46,negative
CHAMP1,negative
CHD1,negative
CHERP,negative
CHMP1B,negative
CHODL,negative
CLMP,negative
CNOT4,negative
CNOT6,negative
COCH,negative
COL1A1,negative
CPEB2,negative
CREB3L1,negative
CRMP1,negative
CRX,negative
CTSH,negative
CXCL12,negative
CYB5R4,negative
CYP1B1,negative
DACH1,negative
DACT1,negative
DAPK1,negative
DCN,negative
DDIT3,negative
DENND4B,negative
DEXI,negative
DLGAP1,negative
DNAH11,negative
DPAGT1,negative
DRAIC,negative
DUSP1,negative
DUSP5,negative
E2F5,negative
E2F6,negative
EDA,negative
EFCAB6-AS1,negative
EGR1,negative
EHF,negative
ELK3,negative
EPAS1,negative
EPHA4,negative
EPHA6,negative
EPHA7,negative
ERF,negative
ERG,negative
ERICH2,negative
ERRFI1,negative
ETV1,negative
ETV6,negative
EXO5,negative
EYA4,negative
FABP4,negative
FAM126A,negative
FAM153B,negative
FAM222A-AS1,negative
FAM91A1,negative
FDFT1,negative
FGD3,negative
FIGN,negative
FMN1,negative
FOS,negative
FOSB,negative
FOXC1,negative
FOXJ3,negative
FOXP1-AS1,negative
FOXP4,negative
GAB2,negative
GABARAPL1,negative
GABPB1,negative
GADD45A,negative
GADD45B,negative
GALNT16,negative
GALNT3,negative
GALNTL6,negative
GALR1,negative
GAP43,negative
GAR1,negative
GAS7,negative
GBP2,negative
GIT2,negative
GJB2,negative
GLRX,negative
GLUL,negative
GNAL,negative
GNG4,negative
GPBP1L1,negative
GPC5,negative
GPR156,negative
GPSM2,negative
GPX3,negative
GRB2,negative
GRHL1,negative
GRHL3,negative
GRIA2,negative
GRID1,negative
GTF2IRD1,negative
GTPBP1,negative
H1FX,negative
HAS2,negative
HBEGF,negative
HBZ,negative
HEATR5A,negative
HEPHL1,negative
HES1,negative
HEY1,negative
HGF,negative
HHEX,negative
HHIP,negative
HOXB3,negative
HSPA1B,negative
HSPH1,negative
IFIT1,negative
IFRD2,negative
IGDCC3,negative
IGF1,negative
IL33,negative
IQCA1,negative
IRX3,negative
ISG20,negative
ITGA7,negative
ITGB7,negative
ITM2B,negative
ITM2C,negative
ITPKB,negative
ITPR3,negative
ITPRIP,negative
JAKMIP2,negative
JAZF1-AS1,negative
JUN,negative
KAT2B,negative
KCND2,negative
KCNK10,negative
KCNK2,negative
KCNMA1,negative
KCNMA1-AS1,negative
KDM4A,negative
KIAA0895L,negative
KLF2,negative
KLF6,negative
KLHL14,negative
KLHL15,negative
KMT2A,negative
LAS1L,negative
LDB1,negative
LDHAL6A,negative
LHFPL3,negative
LIMA1,negative
LIN54,negative
LIN9,negative
LINC00887,negative
LINC00907,negative
LINC01185,negative
LINC01206,negative
LINC01271,negative
LINC01397,negative
LINC01416,negative
LINGO2,negative
LMF1-AS1,negative
LMO2,negative
LMX1B,negative
LONRF3,negative
LPAR3,negative
LRGUK,negative
LRIG1,negative
LRRC8C,negative
LTBP4,negative
LY75,negative
LYPD6,negative
MAB21L1,negative
MAF,negative
MAFB,negative
MALRD1,negative
MANSC1,negative
MAP2,negative
MAP9,negative
MBD1,negative
MCOLN3,negative
MEF2A,negative
MEGF6,negative
METTL7B,negative
MICAL2,negative
MID1IP1,negative
MITF,negative
MKX,negative
MLLT10,negative
MN1,negative
MNT,negative
MOBP,negative
MT2A,negative
MTHFD1,negative
MUSTN1,negative
MYLK,negative
MYOM1,negative
NAMPT,negative
NDNF,negative
NEAT1,negative
NFIA-AS2,negative
NFIL3,negative
NFKB1,negative
NFKB2,negative
NHEJ1,negative
NKAIN3,negative
NOD1,negative
NOS1AP,negative
NPAS3,negative
NR4A1,negative
NR4A2,negative
NR6A1,negative
NRCAM,negative
NSUN7,negative
NUAK2,negative
NUDT7,negative
NUPR1,negative
NYAP2,negative
OGN,negative
OLFM2,negative
OSBP2,negative
P2RY14,negative
PBX3,negative
PCDHA4,negative
PCTP,negative
PDE4D,negative
PDE7A,negative
PDE8B,negative
PDGFD,negative
PDGFRL,negative
PEG3,negative
PELI2,negative
PER2,negative
PGR,negative
PGRMC1,negative
PHACTR2,negative
PHF24,negative
PIP5K1C,negative
PLAGL2,negative
PLK4,negative
PLP1,negative
PNO1,negative
PNPLA4,negative
POLR2E,negative
POP7,negative
POU2F1,negative
PPARGC1A,negative
PPFIA2,negative
PPP1R10,negative
PPP1R1B,negative
PRDM16,negative
PRKCQ,negative
PRPF18,negative
RAB27B,negative
RAB3IP,negative
RAB7A,negative
RAP2C-AS1,negative
RASD1,negative
RASGEF1B,negative
RBM17,negative
RBM47,negative
RCAN1,negative
RELB,negative
RFX2,negative
RFX4,negative
RFX8,negative
RHOU,negative
RND3,negative
RNF138,negative
RNF139,negative
RNF152,negative
RNF19B,negative
ROBO2,negative
ROR2,negative
RPL23,negative
RUNX1,negative
SAMD12,negative
SATB1,negative
SC5D,negative
SCD5,negative
SCN9A,negative
SERPIND1,negative
SERPINE2,negative
SESN3,negative
SFMBT2,negative
SFTA1P,negative
SGMS2,negative
SHROOM4,negative
SHTN1,negative
SIAE,negative
SIN3A,negative
SIRT6,negative
SIX2,negative
SLC26A5,negative
SLC39A14,negative
SLC4A7,negative
SLC9C1,negative
SLF1,negative
SNAP25-AS1,negative
SOCS3,negative
SORCS1,negative
SOX11,negative
SOX4,negative
SOX7,negative
SP100,negative
SP5,negative
SPATA21,negative
SPINK5,negative
SPOCK3,negative
SRBD1,negative
SSPN,negative
ST3GAL4,negative
STAT3,negative
STK17A,negative
STK32B,negative
STK33,negative
STK38L,negative
STRBP,negative
STS,negative
SULF1,negative
SYNDIG1,negative
SYNJ2,negative
SYT1,negative
SYTL5,negative
TACR1,negative
TAF6,negative
TAF7,negative
TBL1XR1,negative
TBX2,negative
TCF12,negative
TDRG1,negative
TESMIN,negative
TFCP2,negative
TFDP1,negative
THAP2,negative
TIAM1,negative
TMEM156,negative
TMEM164,negative
TMEM178B,negative
TMTC2,negative
TNFRSF21,negative
TNNT2,negative
TPI1,negative
TPM2,negative
TRA2B,negative
TRAF7,negative
TRIB2,negative
TRPM3,negative
TSHZ3,negative
TSPYL5,negative
TULP2,negative
TXK,negative
UBALD2,negative
UBC,negative
USE1,negative
VEGFA,negative
VEGFC,negative
VSIG10,negative
WWOX,negative
XBP1,negative
XIST,negative
ZBTB11,negative
ZBTB7C,negative
ZC3H12B,negative
ZFP62,negative
ZFY,negative
ZHX1,negative
ZKSCAN7,negative
ZNF124,negative
ZNF180,negative
ZNF195,negative
ZNF215,negative
ZNF232,negative
ZNF235,negative
ZNF253,negative
ZNF331,negative
ZNF337,negative
ZNF34,negative
ZNF383,negative
ZNF418,negative
ZNF449,negative
ZNF451,negative
ZNF468,negative
ZNF48,negative
ZNF503-AS2,negative
ZNF534,negative
ZNF561,negative
ZNF564,negative
ZNF566,negative
ZNF568,negative
ZNF581,negative
ZNF629,negative
ZNF639,negative
ZNF641,negative
ZNF764,negative
ZNF783,negative
ZNF8,negative
ZNF821,negative
