gene,label
ABCA5,positive
ACVR1C,positive
AEBP1,positive
ARHGAP12,positive
ATP8B1,positive
CHL1,positive
ESYT2,positive
FAM110B,positive
FER,positive
FGFR1,positive
FTCDNL1,positive
GALNT7,positive
GNG12-AS1,positive
GRIN2D,positive
INTU,positive
KLF3-AS1,positive
LRRN1,positive
MMP16,positive
NAMPT,positive
NLGN4X,positive
NLGN4Y,positive
NTNG1,positive
NXPH1,positive
PAM,positive
PEG3,positive
PTPRM,positive
RASSF8,positive
RHBDD1,positive
RHOBTB1,positive
RTN1,positive
SLC35F1,positive
SLC44A5,positive
SORCS3,positive
SOX5,positive
SPATS2L,positive
STK32A,positive
THSD7B,positive
TSC22D2,positive
TTTY14,positive
VGF,positive
ZFAND6,positive
ZHX1,positive
ZKSCAN7,positive
ZNF891,positive
A1BG,positive
ADCY7,positive
AKT1,positive
APOA4,positive
APOE,positive
AVP,positive
BDNF,positive
BTG1,positive
CAMK2B,positive
CASP4,positive
CHD4,positive
CHI3L1,positive
CNR1,positive
COL3A1,positive
COMT,positive
CP,positive
DAO,positive
DLG1,positive
DPYD,positive
DPYSL2,positive
DRD1,positive
DRD2,positive
DRD3,positive
DRD4,positive
EIF5,positive
EPHX2,positive
F2,positive
MTOR,positive
GABRA6,positive
GABRB2,positive
GABRD,positive
GAD1,positive
GAD2,positive
GC,positive
CBLIF,positive
GRIK2,positive
GRIK5,positive
GRIN2B,positive
NR3C1,positive
GRM2,positive
GRM3,positive
GSK3A,positive
GSK3B,positive
NRG1,positive
HINT1,positive
HLA-DRB1,positive
HP,positive
HRH1,positive
HTR2A,positive
HTR6,positive
HTR7,positive
IL1B,positive
IL2RA,positive
IL6,positive
IL6R,positive
INPP5A,positive
KCNB1,positive
KDR,positive
KPNA1,positive
LAMA2,positive
LRP1,positive
MAOB,positive
MET,positive
MTHFR,positive
ND4,positive
NDUFV2,positive
NOS1,positive
NRGN,positive
NTF3,positive
NTRK1,positive
NTSR1,positive
OXTR,positive
PAK2,positive
PCM1,positive
PDE4B,positive
PHB,positive
PIK3CB,positive
PLXNA2,positive
PML,positive
PRODH,positive
RELN,positive
PVALB,positive
RGS12,positive
CCL2,positive
SRSF1,positive
SLC1A1,positive
SLC6A1,positive
SLC6A3,positive
SLC6A4,positive
SP4,positive
SYN2,positive
SYP,positive
TAC1,positive
THBS1,positive
TNF,positive
TP53,positive
TPH1,positive
VIPR2,positive
NRIP1,positive
TRRAP,positive
RGS9,positive
SELENBP1,positive
NRXN1,positive
ADAMTS3,positive
PITPNM1,positive
RB1CC1,positive
MAGI2,positive
MAGEC1,positive
DGCR2,positive
NPRL2,positive
CELF2,positive
NRG3,positive
CPLX2,positive
CPLX1,positive
KLF12,positive
TRAK1,positive
PLCL2,positive
PLCB1,positive
VPS39,positive
APOL2,positive
CNTNAP2,positive
DISC2,positive
DISC1,positive
SAP30BP,positive
SDF4,positive
UGT1A3,positive
AHI1,positive
SBNO1,positive
WDR11,positive
VPS35,positive
EDEM2,positive
PAG1,positive
RTN4,positive
FASTKD5,positive
RTN4R,positive
APOL4,positive
DTNBP1,positive
PGBD1,positive
NTNG2,positive
KDM2B,positive
SHANK3,positive
DIXDC1,positive
TSPAN18,positive
ESAM,positive
ZNF804A,positive
SLC26A7,positive
SLC26A8,positive
OR4C46,positive
FAM3D,positive
TEKT5,positive
ZNF480,positive
ZNF565,positive
SPATA5,positive
HNRNPA3,positive
ADGRF4,positive
NKAPL,positive
CFAP65,positive
ALS2CL,positive
DAOA,positive
LAMA1,positive
HCAR2,positive
CCDC137,positive
ZNF530,positive
ZKSCAN4,positive
GPR153,positive
MIR137,positive
ACOT6,positive
AATF,negative
ABCA1,negative
ABCA6,negative
ABCC6,negative
ABCG1,negative
ABHD18,negative
ACER2,negative
ACKR3,negative
ACSM6,negative
ACTG1,negative
ADAM28,negative
ADAM9,negative
ADAMTS14,negative
ADAMTS9-AS2,negative
ADGRA3,negative
ADGRF3,negative
ADGRL3,negative
ADGRL4,negative
ADK,negative
AGBL3,negative
AJAP1,negative
AKAP12,negative
AMOTL1,negative
AMZ1,negative
ANKRD7,negative
ANO10,negative
ANTXR2,negative
ANXA2,negative
