gene,label
ADCY2,positive
ADD3,positive
GRK3,positive
ANK3,positive
BDNF,positive
CACNA1C,positive
CACNA1D,positive
CD47,positive
AKR1C4,positive
COMT,positive
NCAN,positive
DRD1,positive
DRD5,positive
GAD1,positive
GAD2,positive
GRIK2,positive
GRIN2A,positive
NR3C1,positive
GSK3A,positive
GSK3B,positive
HTR2A,positive
INS,positive
ITIH1,positive
MTHFR,positive
NDUFV2,positive
NTRK1,positive
NTRK2,positive
PC,positive
PDE4B,positive
SERPINA1,positive
POMC,positive
POU3F2,positive
RELN,positive
PVALB,positive
RPS6KA2,positive
S100B,positive
SCN2A,positive
SLC5A3,positive
SLC6A4,positive
SNAP25,positive
SP4,positive
SRPK2,positive
STK4,positive
TAC1,positive
TACR1,positive
TRPC3,positive
TRPM2,positive
TSHB,positive
BHLHE40,positive
FADS2,positive
ZNF592,positive
TRANK1,positive
HDAC5,positive
CPLX2,positive
CPLX1,positive
NTNG1,positive
SHANK2,positive
RIMS1,positive
SSBP2,positive
TENM4,positive
PLEKHO1,positive
MRPS33,positive
ZCCHC2,positive
PACS1,positive
FSTL5,positive
STARD9,positive
LMAN2L,positive
NTNG2,positive
DIXDC1,positive
THSD7A,positive
A1BG,negative
ABCC3,negative
ABCC9,negative
ABCG2,negative
ABHD17B,negative
ABLIM3,negative
ACAN,negative
ACER1,negative
ADAM12,negative
ADAM22,negative
ADAM23,negative
ADAMTS1,negative
ADAMTS15,negative
ADAMTS6,negative
ADD2,negative
ADGB,negative
ADGRE2,negative
ADGRF5,negative
ADGRL2,negative
ADGRL4,negative
ADNP,negative
AFF4,negative
AGTPBP1,negative
AHCTF1,negative
AK5,negative
AKAP12,negative
AKNA,negative
ALCAM,negative
ALOX5,negative
AMOT,negative
AMOTL1,negative
ANKRD18A,negative
ANKRD28,negative
ANKRD30BL,negative
ANKRD6,negative
ANO3,negative
ANXA2,negative
ANXA4,negative
APBB1IP,negative
APBB2,negative
APOL2,negative
APOLD1,negative
AQP11,negative
AR,negative
ARHGAP10,negative
ARHGAP15,negative
ARHGAP22,negative
ARHGAP25,negative
ARHGAP6,negative
ARHGEF28,negative
ARHGEF3,negative
ARID3A,negative
ARNT2,negative
ARNTL,negative
ATF5,negative
ATG10,negative
ATL1,negative
ATL2,negative
ATOH8,negative
ATP10A,negative
ATP12A,negative
ATP13A3,negative
ATP13A5-AS1,negative
ATP1B1,negative
ATP1B3,negative
ATP8A1,negative
AZIN2,negative
BACE2,negative
BASP1,negative
BATF,negative
BAZ1A,negative
BBS9,negative
BCLAF1,negative
BMP2K,negative
BNC1,negative
BNC2,negative
BRWD3,negative
BTNL9,negative
BZW2,negative
C1orf105,negative
C2orf88,negative
C5orf66,negative
CA2,negative
CA3-AS1,negative
CACNB4,negative
CADPS,negative
CADPS2,negative
CALD1,negative
CAMK2N1,negative
CANX,negative
CARMN,negative
CASC15,negative
CBL,negative
CBLB,negative
CCBE1,negative
CCDC168,negative
CCDC178,negative
CCDC81,negative
CCL8,negative
CCNB3,negative
CCND2-AS1,negative
CCR2,negative
CCSER1,negative
CD1D,negative
CD53,negative
CD58,negative
CD59,negative
CD84,negative
CDC25C,negative
CDH18,negative
CDK2AP1,negative
CDK8,negative
CDKN1A,negative
CDS1,negative
CDYL2,negative
CEBPD,negative
CEBPG,negative
CELA3B,negative
CENPP,negative
CERS3,negative
CES5A,negative
CFAP161,negative
CFAP206,negative
CFAP61,negative
CGGBP1,negative
CHAMP1,negative
CHI3L1,negative
CHRM5,negative
CHST9,negative
CIITA,negative
CLDN5,negative
CLEC7A,negative
CMKLR1,negative
CMTM8,negative
CNGA3,negative
CNTNAP3,negative
CNTNAP3B,negative
COBLL1,negative
COL15A1,negative
COL1A1,negative
COL5A2,negative
COL6A2,negative
CORIN,negative
CPE,negative
CPEB2,negative
CRACR2B,negative
CREB3L1,negative
CREM,negative
CSF3R,negative
CSNK1G3,negative
CTCF,negative
CTNNA2,negative
CTNNB1,negative
CUX2,negative
CXCL13,negative
CYBB,negative
CYSLTR2,negative
CYTH3,negative
DAB2,negative
DEAF1,negative
DENND3,negative
DGKB,negative
DGKI,negative
DIAPH2,negative
DIDO1,negative
DISC1,negative
DLEU1,negative
DLGAP1,negative
DLGAP1-AS5,negative
DNAH6,negative
DNAJA1,negative
DNAJC21,negative
DOCK10,negative
DOCK2,negative
DOCK5,negative
DOCK7,negative
